# Time (s),DUT (V),TEM (V)
0.000000000000000000e+00,-1.710253291101929141e-03,-1.710253291101929141e-03
2.000400160064025567e-11,-1.577898335643869573e-03,-1.577898335643869573e-03
4.000800320128051133e-11,-1.423242702103531690e-03,-1.423242702103531690e-03
6.001200480192076700e-11,-1.257292605658104747e-03,-1.257292605658104747e-03
8.001600640256102266e-11,-1.091754112634356821e-03,-1.091754112634356821e-03
1.000200080032012783e-10,-9.382918764272463749e-04,-9.382918764272463749e-04
1.200240096038415340e-10,-8.077902957979099996e-04,-8.077902957979099996e-04
1.400280112044817897e-10,-7.096629832466108765e-04,-7.096629832466108765e-04
1.600320128051220453e-10,-6.512535111637165726e-04,-6.512535111637165726e-04
1.800360144057623010e-10,-6.373648040743080771e-04,-6.373648040743080771e-04
2.000400160064025567e-10,-6.699466082045760435e-04,-6.699466082045760435e-04
2.200440176070428123e-10,-7.479606836158803626e-04,-7.479606836158803626e-04
2.400480192076830680e-10,-8.674323350818093168e-04,-8.674323350818093168e-04
2.600520208083233237e-10,-1.021685311010530521e-03,-1.021685311010530521e-03
2.800560224089635793e-10,-1.201745677138834527e-03,-1.201745677138834527e-03
3.000600240096038350e-10,-1.396889727277102590e-03,-1.396889727277102590e-03
3.200640256102440907e-10,-1.595301987863001827e-03,-1.595301987863001827e-03
3.400680272108843463e-10,-1.784802472696553821e-03,-1.784802472696553821e-03
3.600720288115246020e-10,-1.953597984838488164e-03,-1.953597984838488164e-03
3.800760304121648577e-10,-2.091010722030318698e-03,-2.091010722030318698e-03
4.000800320128051133e-10,-2.188138821970447932e-03,-2.188138821970447932e-03
4.200840336134453690e-10,-2.238407703342705241e-03,-2.238407703342705241e-03
4.400880352140856247e-10,-2.237977858336214106e-03,-2.237977858336214106e-03
4.600920368147258803e-10,-2.185983710728481560e-03,-2.185983710728481560e-03
4.800960384153661360e-10,-2.084588712139112503e-03,-2.084588712139112503e-03
5.001000400160063916e-10,-1.938853347755311023e-03,-1.938853347755311023e-03
5.201040416166466473e-10,-1.756424441034670509e-03,-1.756424441034670509e-03
5.401080432172869030e-10,-1.547065348515046061e-03,-1.547065348515046061e-03
5.601120448179271586e-10,-1.322056615622073123e-03,-1.322056615622073123e-03
5.801160464185674143e-10,-1.093504792218292837e-03,-1.093504792218292837e-03
6.001200480192076700e-10,-8.736028676813714297e-04,-8.736028676813714297e-04
6.201240496198479256e-10,-6.738888124851624651e-04,-6.738888124851624651e-04
6.401280512204881813e-10,-5.045488109498411956e-04,-5.045488109498411956e-04
6.601320528211284370e-10,-3.738089266326957553e-04,-3.738089266326957553e-04
6.801360544217686926e-10,-2.874533318434612525e-04,-2.874533318434612525e-04
7.001400560224089483e-10,-2.484992051642439994e-04,-2.484992051642439994e-04
7.201440576230492040e-10,-2.570484583979134414e-04,-2.570484583979134414e-04
7.401480592236894596e-10,-3.103252221660560270e-04,-3.103252221660560270e-04
7.601520608243297153e-10,-4.028962058052431541e-04,-4.028962058052431541e-04
7.801560624249699710e-10,-5.270593994757984384e-04,-5.270593994757984384e-04
8.001600640256102266e-10,-6.733758434458692824e-04,-6.733758434458692824e-04
8.201640656262504823e-10,-8.313100353375820709e-04,-8.313100353375820709e-04
8.401680672268907380e-10,-9.899375663262629903e-04,-9.899375663262629903e-04
8.601720688275309936e-10,-1.138674221699672619e-03,-1.138674221699672619e-03
8.801760704281712493e-10,-1.267979334938819326e-03,-1.267979334938819326e-03
9.001800720288115050e-10,-1.369987749318434585e-03,-1.369987749318434585e-03
9.201840736294517606e-10,-1.439029228130469899e-03,-1.439029228130469899e-03
9.401880752300919129e-10,-1.472001289520646298e-03,-1.472001289520646298e-03
9.601920768307322720e-10,-1.468570780974813670e-03,-1.468570780974813670e-03
9.801960784313726310e-10,-1.431190466335047337e-03,-1.431190466335047337e-03
1.000200080032012783e-09,-1.364928784164732775e-03,-1.364928784164732775e-03
1.020204081632652936e-09,-1.277122997498548063e-03,-1.277122997498548063e-03
1.040208083233293295e-09,-1.176877423981843775e-03,-1.176877423981843775e-03
1.060212084833933654e-09,-1.074438578349451055e-03,-1.074438578349451055e-03
1.080216086434573806e-09,-9.804872227513535422e-04,-9.804872227513535422e-04
1.100220088035213958e-09,-9.053929733674664698e-04,-9.053929733674664698e-04
1.120224089635854317e-09,-8.584798792478082327e-04,-8.584798792478082327e-04
1.140228091236494676e-09,-8.473510774875888133e-04,-8.473510774875888133e-04
1.160232092837134829e-09,-8.773172380076037138e-04,-8.773172380076037138e-04
1.180236094437774981e-09,-9.509672369239262693e-04,-9.509672369239262693e-04
1.200240096038415340e-09,-1.067910719280737008e-03,-1.067910719280737008e-03
1.220244097639055699e-09,-1.224711470360077999e-03,-1.224711470360077999e-03
1.240248099239695851e-09,-1.415018478231824025e-03,-1.415018478231824025e-03
1.260252100840336004e-09,-1.629888993364264887e-03,-1.629888993364264887e-03
1.280256102440976363e-09,-1.858285567830304796e-03,-1.858285567830304796e-03
1.300260104041616722e-09,-2.087717770047598388e-03,-2.087717770047598388e-03
1.320264105642256874e-09,-2.304989743964618119e-03,-2.304989743964618119e-03
1.340268107242897026e-09,-2.497007630801827745e-03,-2.497007630801827745e-03
1.360272108843537385e-09,-2.651596567719034531e-03,-2.651596567719034531e-03
1.380276110444177744e-09,-2.758275815510329541e-03,-2.758275815510329541e-03
1.400280112044817897e-09,-2.808942644898284550e-03,-2.808942644898284550e-03
1.420284113645458049e-09,-2.798420822897814374e-03,-2.798420822897814374e-03
1.440288115246098408e-09,-2.724837583414664588e-03,-2.724837583414664588e-03
1.460292116846738767e-09,-2.589803355642419924e-03,-2.589803355642419924e-03
1.480296118447378919e-09,-2.398380624601054341e-03,-2.398380624601054341e-03
1.500300120048019072e-09,-2.158841362738943368e-03,-2.158841362738943368e-03
1.520304121648659431e-09,-1.882225686331495283e-03,-1.882225686331495283e-03
1.540308123249299790e-09,-1.581726926553840475e-03,-1.581726926553840475e-03
1.560312124849939942e-09,-1.271939370364401616e-03,-1.271939370364401616e-03
1.580316126450580094e-09,-9.680138151214343154e-04,-9.680138151214343154e-04
1.600320128051220453e-09,-6.847722191104389355e-04,-6.847722191104389355e-04
1.620324129651860812e-09,-4.358357122400145019e-04,-4.358357122400145019e-04
1.640328131252500965e-09,-2.328198464019727012e-04,-2.328198464019727012e-04
1.660332132853141117e-09,-8.464721221614578388e-05,-8.464721221614578388e-05
1.680336134453781476e-09,2.979362121291652009e-06,2.979362121291652009e-06
1.700340136054421835e-09,2.790947438854200541e-05,2.790947438854200541e-05
1.720344137655061987e-09,-8.338055711135092238e-06,-8.338055711135092238e-06
1.740348139255702140e-09,-1.006827208863141803e-04,-1.006827208863141803e-04
1.760352140856342499e-09,-2.408087631035447799e-04,-2.408087631035447799e-04
1.780356142456982858e-09,-4.176914347871851872e-04,-4.176914347871851872e-04
1.800360144057623010e-09,-6.182914500688504403e-04,-6.182914500688504403e-04
1.820364145658263162e-09,-8.283753214623869928e-04,-8.283753214623869928e-04
1.840368147258903521e-09,-1.033411171980722120e-03,-1.033411171980722120e-03
1.860372148859543880e-09,-1.219484595874898315e-03,-1.219484595874898315e-03
1.880376150460183826e-09,-1.374177547074428591e-03,-1.374177547074428591e-03
1.900380152060824185e-09,-1.487355185877942262e-03,-1.487355185877942262e-03
1.920384153661464544e-09,-1.551811013856769844e-03,-1.551811013856769844e-03
1.940388155262104903e-09,-1.563729160909471975e-03,-1.563729160909471975e-03
1.960392156862745262e-09,-1.522933845956808262e-03,-1.522933845956808262e-03
1.980396158463385208e-09,-1.432909135924159954e-03,-1.432909135924159954e-03
2.000400160064025567e-09,-1.300586372649602859e-03,-1.300586372649602859e-03
2.020404161664665926e-09,-1.135911143945528105e-03,-1.135911143945528105e-03
2.040408163265305871e-09,-9.512155408659484293e-04,-9.512155408659484293e-04
2.060412164865946230e-09,-7.604337998883087214e-04,-7.604337998883087214e-04
2.080416166466586589e-09,-5.782094960725468573e-04,-5.782094960725468573e-04
2.100420168067226948e-09,-4.189495885607098292e-04,-4.189495885607098292e-04
2.120424169667867307e-09,-2.958843585389834435e-04,-2.958843585389834435e-04
2.140428171268507253e-09,-2.201923657990998004e-04,-2.201923657990998004e-04
2.160432172869147612e-09,-2.002459526261290133e-04,-2.002459526261290133e-04
2.180436174469787971e-09,-2.410257410763741394e-04,-2.410257410763741394e-04
2.200440176070427916e-09,-3.437424179020269108e-04,-3.437424179020269108e-04
2.220444177671068276e-09,-5.056914900028551931e-04,-5.056914900028551931e-04
2.240448179271708635e-09,-7.203523886820303044e-04,-7.203523886820303044e-04
2.260452180872348994e-09,-9.777281796734304045e-04,-9.777281796734304045e-04
2.280456182472989353e-09,-1.264907130837806745e-03,-1.264907130837806745e-03
2.300460184073629298e-09,-1.566813432432831313e-03,-1.566813432432831313e-03
2.320464185674269657e-09,-1.867102328888126410e-03,-1.867102328888126410e-03
2.340468187274910016e-09,-2.149145565593267408e-03,-2.149145565593267408e-03
2.360472188875549962e-09,-2.397046977740121404e-03,-2.397046977740121404e-03
2.380476190476190321e-09,-2.596625649970480624e-03,-2.596625649970480624e-03
2.400480192076830680e-09,-2.736305529598830142e-03,-2.736305529598830142e-03
2.420484193677471039e-09,-2.807855619460732002e-03,-2.807855619460732002e-03
2.440488195278111398e-09,-2.806933611244423737e-03,-2.806933611244423737e-03
2.460492196878751344e-09,-2.733397531142009104e-03,-2.733397531142009104e-03
2.480496198479391703e-09,-2.591363954425295914e-03,-2.591363954425295914e-03
2.500500200080032062e-09,-2.389006757054265573e-03,-2.389006757054265573e-03
2.520504201680672007e-09,-2.138106270404817755e-03,-2.138106270404817755e-03
2.540508203281312366e-09,-1.853374113756582359e-03,-1.853374113756582359e-03
2.560512204881952725e-09,-1.551592946757372879e-03,-1.551592946757372879e-03
2.580516206482593084e-09,-1.250622042310023385e-03,-1.250622042310023385e-03
2.600520208083233443e-09,-9.683281979873304855e-04,-9.683281979873304855e-04
2.620524209683873389e-09,-7.215065328732425069e-04,-7.215065328732425069e-04
2.640528211284513748e-09,-5.248568259828662822e-04,-5.248568259828662822e-04
2.660532212885154107e-09,-3.900781505430528785e-04,-3.900781505430528785e-04
2.680536214485794052e-09,-3.251377997215910065e-04,-3.251377997215910065e-04
2.700540216086434412e-09,-3.337602757593505784e-04,-3.337602757593505784e-04
2.720544217687074771e-09,-4.151690323947404364e-04,-4.151690323947404364e-04
2.740548219287715130e-09,-5.640985047727069962e-04,-5.640985047727069962e-04
2.760552220888355489e-09,-7.710776474285991255e-04,-7.710776474285991255e-04
2.780556222488995434e-09,-1.022969720372278197e-03,-1.022969720372278197e-03
2.800560224089635793e-09,-1.303737421453005432e-03,-1.303737421453005432e-03
2.820564225690276152e-09,-1.595388618803360217e-03,-1.595388618803360217e-03
2.840568227290916098e-09,-1.879046743078805403e-03,-1.879046743078805403e-03
2.860572228891556457e-09,-2.136082049640985418e-03,-2.136082049640985418e-03
2.880576230492196816e-09,-2.349235948251444245e-03,-2.349235948251444245e-03
2.900580232092837175e-09,-2.503670682093105462e-03,-2.503670682093105462e-03
2.920584233693477534e-09,-2.587880829532381889e-03,-2.587880829532381889e-03
2.940588235294117480e-09,-2.594411160738648546e-03,-2.594411160738648546e-03
2.960592236894757839e-09,-2.520336830026809628e-03,-2.520336830026809628e-03
2.980596238495398198e-09,-2.367476038240162207e-03,-2.367476038240162207e-03
3.000600240096038143e-09,-2.142321305384805100e-03,-2.142321305384805100e-03
3.020604241696678502e-09,-1.855692384616753742e-03,-1.855692384616753742e-03
3.040608243297318861e-09,-1.522130600846121565e-03,-1.522130600846121565e-03
3.060612244897959220e-09,-1.159069993144289015e-03,-1.159069993144289015e-03
3.080616246498599579e-09,-7.858341307583890456e-04,-7.858341307583890456e-04
3.100620248099239525e-09,-4.225180353970232395e-04,-4.225180353970232395e-04
3.120624249699879884e-09,-8.882163220232751192e-05,-8.882163220232751192e-05
3.140628251300520243e-09,1.970958600715088001e-04,1.970958600715088001e-04
3.160632252901160188e-09,4.196723879273368493e-04,4.196723879273368493e-04
3.180636254501800547e-09,5.668474753055400325e-04,5.668474753055400325e-04
3.200640256102440907e-09,6.307608060660189033e-04,6.307608060660189033e-04
3.220644257703081266e-09,6.082035512487244874e-04,6.082035512487244874e-04
3.240648259303721625e-09,5.007958680362206531e-04,5.007958680362206531e-04
3.260652260904361570e-09,3.148804429165458002e-04,3.148804429165458002e-04
3.280656262505001929e-09,6.113899147138666327e-05,6.113899147138666327e-05
3.300660264105642288e-09,-2.460447730868411845e-04,-2.460447730868411845e-04
3.320664265706282234e-09,-5.894370381653279414e-04,-5.894370381653279414e-04
3.340668267306922593e-09,-9.499692053982756968e-04,-9.499692053982756968e-04
3.360672268907562952e-09,-1.307855519376359757e-03,-1.307855519376359757e-03
3.380676270508203311e-09,-1.643745980957419736e-03,-1.643745980957419736e-03
3.400680272108843670e-09,-1.939845655327561685e-03,-1.939845655327561685e-03
3.420684273709483615e-09,-2.180933800038268189e-03,-2.180933800038268189e-03
3.440688275310123975e-09,-2.355222575797646239e-03,-2.355222575797646239e-03
3.460692276910764334e-09,-2.455005065434176861e-03,-2.455005065434176861e-03
3.480696278511404279e-09,-2.477055296013052754e-03,-2.477055296013052754e-03
3.500700280112044638e-09,-2.422758134942872531e-03,-2.422758134942872531e-03
3.520704281712684997e-09,-2.297963379478702023e-03,-2.297963379478702023e-03
3.540708283313325356e-09,-2.112575071399053119e-03,-2.112575071399053119e-03
3.560712284913965715e-09,-1.879903022745617281e-03,-1.879903022745617281e-03
3.580716286514605661e-09,-1.615817762043946469e-03,-1.615817762043946469e-03
3.600720288115246020e-09,-1.337761740523460939e-03,-1.337761740523460939e-03
3.620724289715886379e-09,-1.063677973986325472e-03,-1.063677973986325472e-03
3.640728291316526324e-09,-8.109218426699702983e-04,-8.109218426699702983e-04
