# Time (s),DUT (V),TEM (V)
0.000000000000000000e+00,-2.148643377801809362e-03,-2.148643377801809362e-03
2.000400160064025567e-11,-2.004875647459537519e-03,-2.004875647459537519e-03
4.000800320128051133e-11,-1.856382464896409300e-03,-1.856382464896409300e-03
6.001200480192076700e-11,-1.711821063887806159e-03,-1.711821063887806159e-03
8.001600640256102266e-11,-1.579130051567609761e-03,-1.579130051567609761e-03
1.000200080032012783e-10,-1.465027972712023164e-03,-1.465027972712023164e-03
1.200240096038415340e-10,-1.374590156706899814e-03,-1.374590156706899814e-03
1.400280112044817897e-10,-1.310931029034637096e-03,-1.310931029034637096e-03
1.600320128051220453e-10,-1.275012767803934861e-03,-1.275012767803934861e-03
1.800360144057623010e-10,-1.265593519528571392e-03,-1.265593519528571392e-03
2.000400160064025567e-10,-1.279319813638811823e-03,-1.279319813638811823e-03
2.200440176070428123e-10,-1.310958850019153894e-03,-1.310958850019153894e-03
2.400480192076830680e-10,-1.353757526376021684e-03,-1.353757526376021684e-03
2.600520208083233237e-10,-1.399906967495232390e-03,-1.399906967495232390e-03
2.800560224089635793e-10,-1.441084424858989597e-03,-1.441084424858989597e-03
3.000600240096038350e-10,-1.469039172783198881e-03,-1.469039172783198881e-03
3.200640256102440907e-10,-1.476185780196478904e-03,-1.476185780196478904e-03
3.400680272108843463e-10,-1.456167111088120872e-03,-1.456167111088120872e-03
3.600720288115246020e-10,-1.404350693582122464e-03,-1.404350693582122464e-03
3.800760304121648577e-10,-1.318225648875547820e-03,-1.318225648875547820e-03
4.000800320128051133e-10,-1.197672998803101093e-03,-1.197672998803101093e-03
4.200840336134453690e-10,-1.045089556934716141e-03,-1.045089556934716141e-03
4.400880352140856247e-10,-8.653543236645574316e-04,-8.653543236645574316e-04
4.600920368147258803e-10,-6.656358348966155258e-04,-6.656358348966155258e-04
4.800960384153661360e-10,-4.550486847709044741e-04,-4.550486847709044741e-04
5.001000400160063916e-10,-2.441768617296733780e-04,-2.441768617296733780e-04
5.201040416166466473e-10,-4.449002463107272389e-05,-4.449002463107272389e-05
5.401080432172869030e-10,1.323141281729925585e-04,1.323141281729925585e-04
5.601120448179271586e-10,2.750031260358796049e-04,2.750031260358796049e-04
5.801160464185674143e-10,3.734974857221090507e-04,3.734974857221090507e-04
6.001200480192076700e-10,4.195113956956315502e-04,4.195113956956315502e-04
6.201240496198479256e-10,4.071068395343470044e-04,4.071068395343470044e-04
6.401280512204881813e-10,3.331261685191857971e-04,3.331261685191857971e-04
6.601320528211284370e-10,1.974748011185295060e-04,1.974748011185295060e-04
6.801360544217686926e-10,3.234191860369297049e-06,3.234191860369297049e-06
7.001400560224089483e-10,-2.434050139484964155e-04,-2.434050139484964155e-04
7.201440576230492040e-10,-5.333892123700119826e-04,-5.333892123700119826e-04
7.401480592236894596e-10,-8.552164078065993677e-04,-8.552164078065993677e-04
7.601520608243297153e-10,-1.195497960411851402e-03,-1.195497960411851402e-03
7.801560624249699710e-10,-1.539637391019893498e-03,-1.539637391019893498e-03
8.001600640256102266e-10,-1.872588835204817316e-03,-1.872588835204817316e-03
8.201640656262504823e-10,-2.179652589069503051e-03,-2.179652589069503051e-03
8.401680672268907380e-10,-2.447262506086981312e-03,-2.447262506086981312e-03
8.601720688275309936e-10,-2.663719970995633880e-03,-2.663719970995633880e-03
8.801760704281712493e-10,-2.819831820211831687e-03,-2.819831820211831687e-03
9.001800720288115050e-10,-2.909414764948170268e-03,-2.909414764948170268e-03
9.201840736294517606e-10,-2.929636316135218483e-03,-2.929636316135218483e-03
9.401880752300919129e-10,-2.881171484756201405e-03,-2.881171484756201405e-03
9.601920768307322720e-10,-2.768165099756816471e-03,-2.768165099756816471e-03
9.801960784313726310e-10,-2.598000829270448800e-03,-2.598000829270448800e-03
1.000200080032012783e-09,-2.380889245691327708e-03,-2.380889245691327708e-03
1.020204081632652936e-09,-2.129297872141955057e-03,-2.129297872141955057e-03
1.040208083233293295e-09,-1.857255453150681405e-03,-1.857255453150681405e-03
1.060212084833933654e-09,-1.579570145278155150e-03,-1.579570145278155150e-03
1.080216086434573806e-09,-1.311006470923144207e-03,-1.311006470923144207e-03
1.100220088035213958e-09,-1.065468402911353123e-03,-1.065468402911353123e-03
1.120224089635854317e-09,-8.552356862911977874e-04,-8.552356862911977874e-04
1.140228091236494676e-09,-6.902974604632228705e-04,-6.902974604632228705e-04
1.160232092837134829e-09,-5.778215893144915839e-04,-5.778215893144915839e-04
1.180236094437774981e-09,-5.217901664964989372e-04,-5.217901664964989372e-04
1.200240096038415340e-09,-5.228219026709244720e-04,-5.228219026709244720e-04
1.220244097639055699e-09,-5.781910975890668537e-04,-5.781910975890668537e-04
1.240248099239695851e-09,-6.820413050628616747e-04,-6.820413050628616747e-04
1.260252100840336004e-09,-8.257803037288867932e-04,-8.257803037288867932e-04
1.280256102440976363e-09,-9.986322777653206754e-04,-9.986322777653206754e-04
