# Time (s),DUT (V),TEM (V)
0.000000000000000000e+00,-4.055254786816078760e-03,-4.055254786816078760e-03
2.000400160064025567e-11,-4.016087384488845925e-03,-4.016087384488845925e-03
4.000800320128051133e-11,-3.915390282881665504e-03,-3.915390282881665504e-03
6.001200480192076700e-11,-3.759409086137863350e-03,-3.759409086137863350e-03
8.001600640256102266e-11,-3.556655717251732979e-03,-3.556655717251732979e-03
1.000200080032012783e-10,-3.317457235243433025e-03,-3.317457235243433025e-03
1.200240096038415340e-10,-3.053415324362642076e-03,-3.053415324362642076e-03
1.400280112044817897e-10,-2.776805759348470633e-03,-2.776805759348470633e-03
1.600320128051220453e-10,-2.499950351152570478e-03,-2.499950351152570478e-03
1.800360144057623010e-10,-2.234595259282581327e-03,-2.234595259282581327e-03
2.000400160064025567e-10,-1.991329042773069824e-03,-1.991329042773069824e-03
2.200440176070428123e-10,-1.779071443369841616e-03,-1.779071443369841616e-03
2.400480192076830680e-10,-1.604659790540039930e-03,-1.604659790540039930e-03
2.600520208083233237e-10,-1.472554326206075657e-03,-1.472554326206075657e-03
2.800560224089635793e-10,-1.384676990640060267e-03,-1.384676990640060267e-03
3.000600240096038350e-10,-1.340390679082571973e-03,-1.340390679082571973e-03
3.200640256102440907e-10,-1.336618104285996643e-03,-1.336618104285996643e-03
3.400680272108843463e-10,-1.368091634526709486e-03,-1.368091634526709486e-03
3.600720288115246020e-10,-1.427718262820270667e-03,-1.427718262820270667e-03
3.800760304121648577e-10,-1.507037610372559920e-03,-1.507037610372559920e-03
4.000800320128051133e-10,-1.596745927275426908e-03,-1.596745927275426908e-03
4.200840336134453690e-10,-1.687255699690428995e-03,-1.687255699690428995e-03
4.400880352140856247e-10,-1.769258885142931939e-03,-1.769258885142931939e-03
4.600920368147258803e-10,-1.834262052168292821e-03,-1.834262052168292821e-03
4.800960384153661360e-10,-1.875063765788739008e-03,-1.875063765788739008e-03
5.001000400160063916e-10,-1.886148299230386381e-03,-1.886148299230386381e-03
5.201040416166466473e-10,-1.863974931393155106e-03,-1.863974931393155106e-03
5.401080432172869030e-10,-1.807148393047659264e-03,-1.807148393047659264e-03
5.601120448179271586e-10,-1.716463073656415055e-03,-1.716463073656415055e-03
5.801160464185674143e-10,-1.594820975889283711e-03,-1.594820975889283711e-03
6.001200480192076700e-10,-1.447030671909096261e-03,-1.447030671909096261e-03
6.201240496198479256e-10,-1.279501250570472520e-03,-1.279501250570472520e-03
6.401280512204881813e-10,-1.099851059703940573e-03,-1.099851059703940573e-03
6.601320528211284370e-10,-9.164556130350648162e-04,-9.164556130350648162e-04
6.801360544217686926e-10,-7.379620949760649831e-04,-7.379620949760649831e-04
7.001400560224089483e-10,-5.727992984363152948e-04,-5.727992984363152948e-04
7.201440576230492040e-10,-4.287115115164618056e-04,-4.287115115164618056e-04
7.401480592236894596e-10,-3.123428723700206349e-04,-3.123428723700206349e-04
7.601520608243297153e-10,-2.288951812244308711e-04,-2.288951812244308711e-04
7.801560624249699710e-10,-1.818773282407294581e-04,-1.818773282407294581e-04
8.001600640256102266e-10,-1.729586743900708256e-04,-1.729586743900708256e-04
8.201640656262504823e-10,-2.019322744256507054e-04,-2.019322744256507054e-04
8.401680672268907380e-10,-2.667871540651542352e-04,-2.667871540651542352e-04
8.601720688275309936e-10,-3.638823541090311026e-04,-3.638823541090311026e-04
8.801760704281712493e-10,-4.882095227633613272e-04,-4.882095227633613272e-04
9.001800720288115050e-10,-6.337258246263624420e-04,-6.337258246263624420e-04
9.201840736294517606e-10,-7.937351306905120717e-04,-7.937351306905120717e-04
9.401880752300919129e-10,-9.612930706554216175e-04,-9.612930706554216175e-04
9.601920768307322720e-10,-1.129610689252812886e-03,-1.129610689252812886e-03
9.801960784313726310e-10,-1.292432178089700364e-03,-1.292432178089700364e-03
1.000200080032012783e-09,-1.444364382590638271e-03,-1.444364382590638271e-03
1.020204081632652936e-09,-1.581139347181555275e-03,-1.581139347181555275e-03
1.040208083233293295e-09,-1.699795817491759221e-03,-1.699795817491759221e-03
1.060212084833933654e-09,-1.798771057945563285e-03,-1.798771057945563285e-03
1.080216086434573806e-09,-1.877900213663962013e-03,-1.877900213663962013e-03
1.100220088035213958e-09,-1.938326371638224082e-03,-1.938326371638224082e-03
1.120224089635854317e-09,-1.982330083444290569e-03,-1.982330083444290569e-03
1.140228091236494676e-09,-2.013092050739076749e-03,-2.013092050739076749e-03
1.160232092837134829e-09,-2.034406642159631781e-03,-2.034406642159631781e-03
1.180236094437774981e-09,-2.050366667782858171e-03,-2.050366667782858171e-03
1.200240096038415340e-09,-2.065041226174005838e-03,-2.065041226174005838e-03
1.220244097639055699e-09,-2.082168389249104863e-03,-2.082168389249104863e-03
1.240248099239695851e-09,-2.104883024196454837e-03,-2.104883024196454837e-03
1.260252100840336004e-09,-2.135497282426405703e-03,-2.135497282426405703e-03
1.280256102440976363e-09,-2.175347408345371190e-03,-2.175347408345371190e-03
1.300260104041616722e-09,-2.224715800585973756e-03,-2.224715800585973756e-03
1.320264105642256874e-09,-2.282832012228478043e-03,-2.282832012228478043e-03
1.340268107242897026e-09,-2.347950953111630976e-03,-2.347950953111630976e-03
1.360272108843537385e-09,-2.417501314179552017e-03,-2.417501314179552017e-03
1.380276110444177744e-09,-2.488292514593704041e-03,-2.488292514593704041e-03
1.400280112044817897e-09,-2.556764584666921646e-03,-2.556764584666921646e-03
1.420284113645458049e-09,-2.619262593465954570e-03,-2.619262593465954570e-03
1.440288115246098408e-09,-2.672315689295836315e-03,-2.672315689295836315e-03
1.460292116846738767e-09,-2.712900641092114151e-03,-2.712900641092114151e-03
1.480296118447378919e-09,-2.738670956528406301e-03,-2.738670956528406301e-03
1.500300120048019072e-09,-2.748135126161745621e-03,-2.748135126161745621e-03
1.520304121648659431e-09,-2.740771135608529967e-03,-2.740771135608529967e-03
1.540308123249299790e-09,-2.717068859408349607e-03,-2.717068859408349607e-03
1.560312124849939942e-09,-2.678497002696909705e-03,-2.678497002696909705e-03
1.580316126450580094e-09,-2.627396553114735595e-03,-2.627396553114735595e-03
1.600320128051220453e-09,-2.566807891602682253e-03,-2.566807891602682253e-03
1.620324129651860812e-09,-2.500243438951784726e-03,-2.500243438951784726e-03
