# Time (s), DUT (V)
1.080216086434570084e-09,5.549197521332370139e-03
1.100220088035210029e-09,5.374172403945999890e-03
1.120224089635849975e-09,5.120108876693729716e-03
1.140228091236489920e-09,4.808975502932909783e-03
1.160232092837130072e-09,4.465153410021770360e-03
1.180236094437779944e-09,4.113792734659810213e-03
1.200240096038420096e-09,3.779165486184790038e-03
1.220244097639060042e-09,3.483117641353299879e-03
1.240248099239699987e-09,3.243715399580879982e-03
1.260252100840339933e-09,3.074166905246159855e-03
1.280256102440980085e-09,2.982082290110169877e-03
1.300260104041620030e-09,2.969083722074580215e-03
1.320264105642259976e-09,3.030999372477949892e-03
1.340268107242899921e-09,3.157896580559439812e-03
1.360272108843540074e-09,3.335427383619559913e-03
1.380276110444180019e-09,3.545339753750860121e-03
1.400280112044819965e-09,3.767157592965180140e-03
1.420284113645459910e-09,3.979469736629280378e-03
1.440288115246100062e-09,4.161446858607699764e-03
1.460292116846740008e-09,4.294280906488810376e-03
1.480296118447379953e-09,4.362483114546299862e-03
1.500300120048019899e-09,4.354958565744720088e-03
1.520304121648660051e-09,4.265790164232670205e-03
1.540308123249299996e-09,4.094683840312880047e-03
1.560312124849939942e-09,3.847048620240320089e-03
1.580316126450580094e-09,3.533708463692079946e-03
1.600320128051220040e-09,3.170266034895309875e-03
1.620324129651859985e-09,2.776160373417099932e-03
1.640328131252499931e-09,2.373479415233720191e-03
1.660332132853140083e-09,1.985603318225369947e-03
1.680336134453780028e-09,1.635764661500369943e-03
1.700340136054419974e-09,1.345616219837509958e-03
1.720344137655059919e-09,1.133895916600989985e-03
1.740348139255700072e-09,1.015271844342729947e-03
1.760352140856340017e-09,9.994383769594290118e-04
1.780356142456979963e-09,1.090518165451639975e-03
1.800360144057619908e-09,1.286805263410150052e-03
1.820364145658260060e-09,1.580863022212469987e-03
1.840368147258900006e-09,1.959968102698079941e-03
1.860372148859539951e-09,2.406870377620399983e-03
1.880376150460180103e-09,2.900818999512640075e-03
1.900380152060820049e-09,3.418788694125899849e-03
1.920384153661459994e-09,3.936828408046440242e-03
1.940388155262109866e-09,4.431447510784739842e-03
1.960392156862749812e-09,4.880953227589029594e-03
1.980396158463390171e-09,5.266656915630460109e-03
2.000400160064030116e-09,5.573875905020390063e-03
2.020404161664670062e-09,5.792671293196529660e-03
2.040408163265310007e-09,5.918279408564549628e-03
2.060412164865949953e-09,5.951214521782409624e-03
2.080416166466589898e-09,5.897041502337639803e-03
2.100420168067229843e-09,5.765838142757299598e-03
2.120424169667870203e-09,5.571386465115880059e-03
2.140428171268510148e-09,5.330149245584859911e-03
2.160432172869150093e-09,5.060101179090129887e-03
2.180436174469790039e-09,4.779492737869870007e-03
2.200440176070429984e-09,4.505628329206129608e-03
2.220444177671069930e-09,4.253738628766660229e-03
2.240448179271709875e-09,4.036020095305599756e-03
2.260452180872349821e-09,3.860903125826630096e-03
2.280456182472990180e-09,3.732594850348810132e-03
2.300460184073630125e-09,3.650924203143769871e-03
2.320464185674270071e-09,3.611496834853469839e-03
2.340468187274910016e-09,3.606146947210100030e-03
2.360472188875549962e-09,3.623653559637549960e-03
2.380476190476189907e-09,3.650671316781659795e-03
2.400480192076829853e-09,3.672811835129470136e-03
2.420484193677469798e-09,3.675801672789000100e-03
2.440488195278110157e-09,3.646637923732010036e-03
2.460492196878750103e-09,3.574662512128519865e-03
2.480496198479390048e-09,3.452481487892639783e-03
2.500500200080029994e-09,3.276665664553209990e-03
2.520504201680669939e-09,3.048183150675979822e-03
2.540508203281309885e-09,2.772531792915370035e-03
2.560512204881949830e-09,2.459559151024129885e-03
2.580516206482590189e-09,2.122978102475699992e-03
2.600520208083230135e-09,1.779606209572919982e-03
2.620524209683870080e-09,1.448375283966160058e-03
2.640528211284510026e-09,1.149172970103000055e-03
2.660532212885149971e-09,9.015896419865490488e-04
2.680536214485789917e-09,7.236507169510779857e-04
2.700540216086429862e-09,6.306161814460909754e-04
2.720544217687069807e-09,6.339255694019059690e-04
2.740548219287720093e-09,7.403580383928359907e-04
2.760552220888360038e-09,9.514640816288819948e-04
2.780556222488999984e-09,1.263308610397830033e-03
2.800560224089639929e-09,1.666545697610270077e-03
2.820564225690279875e-09,2.146824414249100168e-03
2.840568227290919820e-09,2.685504237384569916e-03
2.860572228891560179e-09,3.260638792217749899e-03
2.880576230492200125e-09,3.848169468131699879e-03
2.900580232092840070e-09,4.423256825209670104e-03
2.920584233693480016e-09,4.961668561738880046e-03
2.940588235294119961e-09,5.441138746478969661e-03
2.960592236894759907e-09,5.842614311934050085e-03
2.980596238495399852e-09,6.151311400738270277e-03
3.000600240096039797e-09,6.357515664284919821e-03
3.020604241696680157e-09,6.457076327871819933e-03
3.040608243297320102e-09,6.451562788049680294e-03
