# Time (s),Amplitude (V)
1.320264105642256874e-09,9.337910559395508342e-06
1.340268107242897026e-09,-3.300592007554340921e-05
1.360272108843537385e-09,-7.163237341593835608e-05
1.380276110444177744e-09,-1.045831689791029522e-04
1.400280112044817897e-09,-1.301960963442165792e-04
1.420284113645458049e-09,-1.471948647648399912e-04
1.440288115246098408e-09,-1.547577599309281576e-04
1.460292116846738767e-09,-1.525612598908724997e-04
1.480296118447378919e-09,-1.407961743506021778e-04
1.500300120048019072e-09,-1.201554238073899159e-04
1.520304121648659431e-09,-9.179417821322177686e-05
1.540308123249299790e-09,-5.726463702905011481e-05
1.560312124849939942e-09,-1.842916386787235499e-05
1.580316126450580094e-09,2.264329280306653862e-05
1.600320128051220453e-09,6.379162613723296320e-05
1.620324129651860812e-09,1.028813790424495608e-04
1.640328131252500965e-09,1.379212402792425710e-04
1.660332132853141117e-09,1.671706898469612528e-04
1.680336134453781476e-09,1.892327835842982030e-04
1.700340136054421835e-09,2.031269379017210293e-04
1.720344137655061987e-09,2.083377379615624172e-04
1.740348139255702140e-09,2.048371786457780792e-04
1.760352140856342499e-09,1.930792767196670365e-04
1.780356142456982858e-09,1.739675760013625970e-04
1.800360144057623010e-09,1.487976134604412372e-04
1.820364145658263162e-09,1.191778337792131804e-04
1.840368147258903521e-09,8.693365142550197656e-05
1.860372148859543880e-09,5.400029345633914891e-05
1.880376150460183826e-09,2.231066022401550179e-05
1.900380152060824185e-09,-6.315318601225484771e-06
1.920384153661464544e-09,-3.027349091048396856e-05
1.940388155262104903e-09,-4.826461191634116279e-05
1.960392156862745262e-09,-5.936479358025798799e-05
1.980396158463385208e-09,-6.307339189134075991e-05
2.000400160064025567e-09,-5.933578929903306789e-05
2.020404161664665926e-09,-4.854000719595298683e-05
2.040408163265305871e-09,-3.148761242956445085e-05
2.060412164865946230e-09,-9.340872853346218256e-06
2.080416166466586589e-09,1.645051695948503614e-05
2.100420168067226948e-09,4.423865662401432232e-05
2.120424169667867307e-09,7.227723287442936123e-05
2.140428171268507253e-09,9.882593972080184151e-05
2.160432172869147612e-09,1.222533633250092757e-04
2.180436174469787971e-09,1.411323142939077701e-04
2.200440176070427916e-09,1.543220872285970709e-04
2.220444177671068276e-09,1.610329448154472595e-04
2.240448179271708635e-09,1.608692111805304001e-04
2.260452180872348994e-09,1.538486507451355338e-04
2.280456182472989353e-09,1.403972268473978313e-04
2.300460184073629298e-09,1.213197943801423224e-04
2.320464185674269657e-09,9.774869614854340613e-05
2.340468187274910016e-09,7.107352021916981354e-05
2.360472188875549962e-09,4.285636000642472027e-05
2.380476190476190321e-09,1.473773746945175890e-05
2.400480192076830680e-09,-1.166114397748860991e-05
2.420484193677471039e-09,-3.483398416746399235e-05
2.440488195278111398e-09,-5.347715726649350510e-05
2.460492196878751344e-09,-6.656453366672055079e-05
2.480496198479391703e-09,-7.340503386798571971e-05
2.500500200080032062e-09,-7.367966259016301778e-05
2.520504201680672007e-09,-6.745602336252258199e-05
2.540508203281312366e-09,-5.517967481103160598e-05
2.560512204881952725e-09,-3.764307785554617307e-05
