# Time (s),Amplitude (V)
0.000000000000000000e+00,1.405062518206681992e-04
2.000400160064025567e-11,1.180335706173101705e-04
4.000800320128051133e-11,9.312368505022517416e-05
6.001200480192076700e-11,6.680543440628658556e-05
8.001600640256102266e-11,4.016515440055591808e-05
1.000200080032012783e-10,1.429662487258820261e-05
1.200240096038415340e-10,-9.748986614938766722e-06
1.400280112044817897e-10,-3.101071553434743349e-05
1.600320128051220453e-10,-4.866059981352917249e-05
1.800360144057623010e-10,-6.203962647250407445e-05
2.000400160064025567e-10,-7.068513363968679207e-05
2.200440176070428123e-10,-7.434843060042197783e-05
2.400480192076830680e-10,-7.300191295717170894e-05
2.600520208083233237e-10,-6.683549627771936540e-05
2.800560224089635793e-10,-5.624274022208265245e-05
3.000600240096038350e-10,-4.179755662215524825e-05
3.200640256102440907e-10,-2.422286164499237531e-05
3.400680272108843463e-10,-4.352919601718598744e-06
3.600720288115246020e-10,1.690858564822188517e-05
3.800760304121648577e-10,3.863254051681547490e-05
4.000800320128051133e-10,5.990818721311534070e-05
4.200840336134453690e-10,7.988450694457073628e-05
4.400880352140856247e-10,9.780718626111650955e-05
4.600920368147258803e-10,1.130494393500618735e-04
4.800960384153661360e-10,1.251353324818593325e-04
5.001000400160063916e-10,1.337546939641418009e-04
5.201040416166466473e-10,1.387691683651345095e-04
5.401080432172869030e-10,1.402094601969737075e-04
5.601120448179271586e-10,1.382642823465802552e-04
5.801160464185674143e-10,1.332619523605431259e-04
6.001200480192076700e-10,1.256459422107492757e-04
6.201240496198479256e-10,1.159459655038654584e-04
6.401280512204881813e-10,1.047463666206041447e-04
6.601320528211284370e-10,9.265365122301218376e-05
6.801360544217686926e-10,8.026496549525903503e-05
7.001400560224089483e-10,6.813919717637329811e-05
7.201440576230492040e-10,5.677214557148270208e-05
7.401480592236894596e-10,4.657690611465741649e-05
7.601520608243297153e-10,3.787025763895075683e-05
7.801560624249699710e-10,3.086545013130233907e-05
8.001600640256102266e-10,2.567139167026481980e-05
8.201640656262504823e-10,2.229784976741839531e-05
8.401680672268907380e-10,2.066593722364300624e-05
8.601720688275309936e-10,2.062286585542609470e-05
8.801760704281712493e-10,2.195973899626022674e-05
9.001800720288115050e-10,2.443102659133922818e-05
9.201840736294517606e-10,2.777433053087189737e-05
9.401880752300919129e-10,3.172910237311509911e-05
9.601920768307322720e-10,3.605311491150006286e-05
9.801960784313726310e-10,4.053570200962468392e-05
1.000200080032012783e-09,4.500705220027961914e-05
1.020204081632652936e-09,4.934315170113706315e-05
1.040208083233293295e-09,5.346630056322633192e-05
1.060212084833933654e-09,5.734144960708973006e-05
1.080216086434573806e-09,6.096890417670589512e-05
1.100220088035213958e-09,6.437419404705197682e-05
1.120224089635854317e-09,6.759610070450970784e-05
1.140228091236494676e-09,7.067395151233069766e-05
1.160232092837134829e-09,7.363532775845748213e-05
1.180236094437774981e-09,7.648528837029836751e-05
1.200240096038415340e-09,7.919808681007098230e-05
1.220244097639055699e-09,8.171216411960166364e-05
1.240248099239695851e-09,8.392894973982211967e-05
1.260252100840336004e-09,8.571571077943875309e-05
1.280256102440976363e-09,8.691237969923186512e-05
1.300260104041616722e-09,8.734198112267279983e-05
1.320264105642256874e-09,8.682399185806572372e-05
1.340268107242897026e-09,8.518972404035628936e-05
1.360272108843537385e-09,8.229863668577185715e-05
1.380276110444177744e-09,7.805436923939021118e-05
1.400280112044817897e-09,7.241926052426115299e-05
1.420284113645458049e-09,6.542617124869727705e-05
1.440288115246098408e-09,5.718656573044193499e-05
1.460292116846738767e-09,4.789402115564745060e-05
1.480296118447378919e-09,3.782260790368038828e-05
1.500300120048019072e-09,2.731990537899440881e-05
1.520304121648659431e-09,1.679476435959091613e-05
1.540308123249299790e-09,6.700277050784115770e-06
1.560312124849939942e-09,-2.487252757568552161e-06
1.580316126450580094e-09,-1.029225656652452505e-05
1.600320128051220453e-09,-1.626545201070536895e-05
1.620324129651860812e-09,-2.000953067477380918e-05
1.640328131252500965e-09,-2.120344971335914235e-05
1.660332132853141117e-09,-1.962382179770225408e-05
1.680336134453781476e-09,-1.516201980669523100e-05
1.700340136054421835e-09,-7.835823225020756836e-06
1.720344137655061987e-09,2.205278782400186844e-06
1.740348139255702140e-09,1.468166335938737965e-05
1.760352140856342499e-09,2.919217441807620835e-05
1.780356142456982858e-09,4.522948471457401707e-05
1.800360144057623010e-09,6.220155505242444234e-05
1.820364145658263162e-09,7.945815567682936202e-05
1.840368147258903521e-09,9.632109865126192499e-05
1.860372148859543880e-09,1.121165879304504402e-04
1.880376150460183826e-09,1.262079417570882538e-04
1.900380152060824185e-09,1.380268904158061063e-04
1.920384153661464544e-09,1.471017058446380684e-04
1.940388155262104903e-09,1.530805763627031337e-04
1.960392156862745262e-09,1.557488917962349627e-04
1.980396158463385208e-09,1.550394376706425029e-04
2.000400160064025567e-09,1.510348929296114948e-04
2.020404161664665926e-09,1.439624609018841242e-04
2.040408163265305871e-09,1.341809124061651808e-04
2.060412164865946230e-09,1.221607563288239066e-04
2.080416166466586589e-09,1.084586505795037323e-04
2.100420168067226948e-09,9.368750102194784660e-05
2.120424169667867307e-09,7.848394732176420586e-05
2.140428171268507253e-09,6.347508707056474537e-05
2.160432172869147612e-09,4.924633327009052958e-05
2.180436174469787971e-09,3.631223199834157243e-05
2.200440176070427916e-09,2.509189028721608771e-05
2.220444177671068276e-09,1.589038891372308350e-05
2.240448179271708635e-09,8.887196969335262975e-06
2.260452180872348994e-09,4.132185840418509976e-06
2.280456182472989353e-09,1.549384541820628471e-06
2.300460184073629298e-09,9.481535196443516579e-07
2.320464185674269657e-09,2.041008094676859321e-06
2.340468187274910016e-09,4.466922709201698515e-06
2.360472188875549962e-09,7.818617489628714657e-06
2.380476190476190321e-09,1.167208965243210938e-05
2.400480192076830680e-09,1.561651886297421360e-05
2.420484193677471039e-09,1.928265641334029148e-05
2.440488195278111398e-09,2.236790469535474793e-05
2.460492196878751344e-09,2.465650057793087823e-05
2.480496198479391703e-09,2.603352185269334129e-05
2.500500200080032062e-09,2.649182169605237725e-05
2.520504201680672007e-09,2.613143895699096214e-05
2.540508203281312366e-09,2.515150517490258815e-05
2.560512204881952725e-09,2.383514374998546106e-05
2.580516206482593084e-09,2.252830349626815107e-05
2.600520208083233443e-09,2.161386027396959867e-05
2.620524209683873389e-09,2.148263207118933211e-05
2.640528211284513748e-09,2.250316501606579509e-05
2.660532212885154107e-09,2.499224650751360395e-05
2.680536214485794052e-09,2.918807993106981865e-05
2.700540216086434412e-09,3.522791353261157710e-05
2.720544217687074771e-09,4.313166155222435550e-05
2.740548219287715130e-09,5.279270318361512849e-05
2.760552220888355489e-09,6.397661494313151679e-05
2.780556222488995434e-09,7.632811010348788266e-05
2.800560224089635793e-09,8.938595387942302548e-05
2.820564225690276152e-09,1.026051255813822049e-04
2.840568227290916098e-09,1.153850393807343309e-04
2.860572228891556457e-09,1.271022420007353185e-04
2.880576230492196816e-09,1.371457031787113874e-04
2.900580232092837175e-09,1.449526224979940736e-04
2.920584233693477534e-09,1.500426070082102681e-04
2.940588235294117480e-09,1.520481335229165783e-04
2.960592236894757839e-09,1.507393954522574147e-04
2.980596238495398198e-09,1.460419367249275713e-04
3.000600240096038143e-09,1.380458778888907841e-04
3.020604241696678502e-09,1.270060188270859508e-04
3.040608243297318861e-09,1.133326308236132674e-04
3.060612244897959220e-09,9.757329693378923854e-05
3.080616246498599579e-09,8.038669137102499081e-05
3.100620248099239525e-09,6.250967410824999522e-05
3.120624249699879884e-09,4.471948679655981184e-05
3.140628251300520243e-09,2.779314535373197666e-05
3.160632252901160188e-09,1.246631390034723565e-05
3.180636254501800547e-09,-6.059981998784431839e-07
3.200640256102440907e-09,-1.088465414736684823e-05
3.220644257703081266e-09,-1.797547330664282054e-05
3.240648259303721625e-09,-2.165046636536324958e-05
3.260652260904361570e-09,-2.185994575494268867e-05
3.280656262505001929e-09,-1.873475112374662949e-05
3.300660264105642288e-09,-1.257839417289554862e-05
3.320664265706282234e-09,-3.849507331492883990e-06
3.340668267306922593e-09,6.864457327031308863e-06
3.360672268907562952e-09,1.888082186965029023e-05
3.380676270508203311e-09,3.146068272333887530e-05
3.400680272108843670e-09,4.385110886475763976e-05
3.420684273709483615e-09,5.532813372003748042e-05
3.440688275310123975e-09,6.523807919637837898e-05
3.460692276910764334e-09,7.303483542215397355e-05
3.480696278511404279e-09,7.831094307684410318e-05
3.500700280112044638e-09,8.082067419222169202e-05
3.520704281712684997e-09,8.049376217596317443e-05
3.540708283313325356e-09,7.743896644456470235e-05
3.560712284913965715e-09,7.193724060570370850e-05
3.580716286514605661e-09,6.442487185528075213e-05
3.600720288115246020e-09,5.546753837264190728e-05
3.620724289715886379e-09,4.572675737509483880e-05
3.640728291316526324e-09,3.592063849275858482e-05
3.660732292917166683e-09,2.678118947429962611e-05
3.680736294517807043e-09,1.901062452863657213e-05
3.700740296118447402e-09,1.323918791813964336e-05
3.720744297719087761e-09,9.986923043525179793e-06
3.740748299319727706e-09,9.631594886155099897e-06
3.760752300920367652e-09,1.238462414651103711e-05
3.780756302521008424e-09,1.827643495549512284e-05
3.800760304121648370e-09,2.715208104792028097e-05
3.820764305722289142e-09,3.867742883880738995e-05
3.840768307322929088e-09,5.235557380568875083e-05
3.860772308923569033e-09,6.755258367708252994e-05
3.880776310524209806e-09,8.353113168404922774e-05
3.900780312124849751e-09,9.949013595069031905e-05
3.920784313725490524e-09,1.146081824468429773e-04
3.940788315326130470e-09,1.280882979482006684e-04
3.960792316926770415e-09,1.392015677716328071e-04
3.980796318527411188e-09,1.473271642415279240e-04
4.000800320128051133e-09,1.519865611618489271e-04
4.020804321728691079e-09,1.528700443093597211e-04
4.040808323329331851e-09,1.498540682771126612e-04
4.060812324929971797e-09,1.430085300011346651e-04
4.080816326530611742e-09,1.325935987287641814e-04
4.100820328131252515e-09,1.190463280812141311e-04
4.120824329731892460e-09,1.029578445896302589e-04
4.140828331332533233e-09,8.504242625780072040e-05
4.160832332933173179e-09,6.610022506772862184e-05
4.180836334533813124e-09,4.697572447141995831e-05
4.200840336134453897e-09,2.851423854419800046e-05
4.220844337735093842e-09,1.151884258870207644e-05
4.240848339335734615e-09,-3.289927709404700563e-06
4.260852340936374560e-09,-1.530945533407793263e-05
4.280856342537014506e-09,-2.408364883918542645e-05
4.300860344137655278e-09,-2.932332976327090969e-05
4.320864345738295224e-09,-3.091743192876512952e-05
4.340868347338935169e-09,-2.893456990313435267e-05
4.360872348939575942e-09,-2.361507614662524323e-05
4.380876350540215887e-09,-1.535413363793143557e-05
4.400880352140855833e-09,-4.677113043545623537e-06
4.420884353741496606e-09,7.791366117360973542e-06
4.440888355342136551e-09,2.136281465874786007e-05
4.460892356942777324e-09,3.532265201851501044e-05
4.480896358543417269e-09,4.896825710146995864e-05
4.500900360144057215e-09,6.164520260036386405e-05
4.520904361744697987e-09,7.277973922589299797e-05
4.540908363345337933e-09,8.190585825638728782e-05
4.560912364945978705e-09,8.868561167616282736e-05
4.580916366546618651e-09,9.292178647276117041e-05
4.600920368147258596e-09,9.456248752038679266e-05
4.620924369747899369e-09,9.369765416643551967e-05
4.640928371348539315e-09,9.054799133235393244e-05
4.660932372949179260e-09,8.544721029457714556e-05
4.680936374549820033e-09,7.881882410501894352e-05
4.700940376150459978e-09,7.114900901578030234e-05
4.720944377751099924e-09,6.295721291044860358e-05
4.740948379351740696e-09,5.476625739806030801e-05
4.760952380952380642e-09,4.707364110653891121e-05
4.780956382553021414e-09,4.032561338956784153e-05
4.800960384153661360e-09,3.489536156054190625e-05
4.820964385754301305e-09,3.106635734099920859e-05
4.840968387354942078e-09,2.902155981346830917e-05
4.860972388955582023e-09,2.883879568938937411e-05
4.880976390556222796e-09,3.049225711678192166e-05
4.900980392156862742e-09,3.385969607756464958e-05
4.920984393757502687e-09,3.873457428658057608e-05
4.940988395358143460e-09,4.484216681263311920e-05
4.960992396958783405e-09,5.185843052974322125e-05
4.980996398559423351e-09,5.943034402615603813e-05
5.001000400160064123e-09,6.719640728202667902e-05
5.021004401760704069e-09,7.480605520527650910e-05
5.041008403361344014e-09,8.193688156792455887e-05
5.061012404961984787e-09,8.830877686869624001e-05
5.081016406562624732e-09,9.369433918428212967e-05
5.101020408163265505e-09,9.792520248113329557e-05
5.121024409763905450e-09,1.008942220330829459e-04
5.141028411364545396e-09,1.025537413646511524e-04
5.161032412965186169e-09,1.029104206019752614e-04
5.181036414565826114e-09,1.020173158371640352e-04
5.201040416166466887e-09,9.996405021193543322e-05
5.221044417767106832e-09,9.686600132059091164e-05
5.241048419367746778e-09,9.285344246985666628e-05
5.261052420968387550e-09,8.806151852178213430e-05
5.281056422569027496e-09,8.262181653774920654e-05
5.301060424169667441e-09,7.665611757791564434e-05
5.321064425770308214e-09,7.027270272218085433e-05
5.341068427370948159e-09,6.356535013423298677e-05
5.361072428971588105e-09,5.661491865339907581e-05
5.381076430572228878e-09,4.949318498847143574e-05
5.401080432172868823e-09,4.226840301698620722e-05
5.421084433773509596e-09,3.501189961466458271e-05
5.441088435374149541e-09,2.780492324850723383e-05
5.461092436974789487e-09,2.074492660523796973e-05
5.481096438575430259e-09,1.395049560457221674e-05
5.501100440176070205e-09,7.564232340603950939e-06
5.521104441776710977e-09,1.753052269456054996e-06
5.541108443377350923e-09,-3.294444351451758893e-06
5.561112444977990868e-09,-7.373634301424417535e-06
5.581116446578631641e-09,-1.027242536790223695e-05
5.601120448179271586e-09,-1.178231435953548992e-05
5.621124449779911532e-09,-1.171133389533766357e-05
5.641128451380552305e-09,-9.898082213259970402e-06
5.661132452981192250e-09,-6.225891063105017108e-06
5.681136454581832196e-09,-6.361101932422748835e-07
5.701140456182472968e-09,6.860519816793161327e-06
5.721144457783112914e-09,1.617536906032796286e-05
5.741148459383753686e-09,2.713712131625093055e-05
5.761152460984393632e-09,3.949130745512232049e-05
5.781156462585033577e-09,5.290454862929582950e-05
5.801160464185674350e-09,6.697360315924899760e-05
5.821164465786314295e-09,8.123900752969545364e-05
5.841168467386955068e-09,9.520279990986385218e-05
5.861172468987595014e-09,1.083495339385464413e-04
5.881176470588234959e-09,1.201695500095980137e-04
5.901180472188875732e-09,1.301832875463104896e-04
5.921184473789515677e-09,1.379653080269104676e-04
5.941188475390155623e-09,1.431666637853441185e-04
5.961192476990796395e-09,1.455342959670264465e-04
5.981196478591436341e-09,1.449262753129195174e-04
6.001200480192076286e-09,1.413219052999129942e-04
6.021204481792717059e-09,1.348259773300864188e-04
6.041208483393357004e-09,1.256667866257429769e-04
6.061212484993997777e-09,1.141878664714022194e-04
6.081216486594637722e-09,1.008337565089533833e-04
6.101220488195277668e-09,8.613046616651255411e-05
6.121224489795918441e-09,7.066160574342610133e-05
6.141228491396558386e-09,5.504141580435643118e-05
6.161232492997199159e-09,3.988611410181900740e-05
6.181236494597839104e-09,2.578508613680391171e-05
6.201240496198479050e-09,1.327346353478835910e-05
6.221244497799119822e-09,2.807561942009680983e-06
6.241248499399759768e-09,-5.255509000617306972e-06
6.261252501000399713e-09,-1.067298763562259406e-05
6.281256502601040486e-09,-1.332557822042971266e-05
6.301260504201680431e-09,-1.322011414285632205e-05
6.321264505802320377e-09,-1.048570557251418090e-05
6.341268507402961150e-09,-5.363682578630762677e-06
6.361272509003601095e-09,1.808003899754431228e-06
6.381276510604241868e-09,1.061495132772682728e-05
6.401280512204881813e-09,2.058982423280074727e-05
6.421284513805521759e-09,3.123782791862252009e-05
6.441288515406162531e-09,4.206265512988763359e-05
6.461292517006802477e-09,5.259142631573152815e-05
6.481296518607443249e-09,6.239723656584904201e-05
6.501300520208083195e-09,7.111809792382259385e-05
6.521304521808723140e-09,7.847131293014914769e-05
6.541308523409363913e-09,8.426261775991185636e-05
6.561312525010003858e-09,8.838977160949032887e-05
6.581316526610643804e-09,9.084062128936468605e-05
6.601320528211284577e-09,9.168601374272520872e-05
6.621324529811924522e-09,9.106824254647451200e-05
6.641328531412564468e-09,8.918597754276766051e-05
6.661332533013205240e-09,8.627682313566436450e-05
6.681336534613845186e-09,8.259876840104703937e-05
6.701340536214485958e-09,7.841182413904146723e-05
6.721344537815125904e-09,7.396108711757421426e-05
