# Time (s),Amplitude (V)
0.000000000000000000e+00,1.055407821537684249e-04
2.000400160064025567e-11,9.117200701972835925e-05
4.000800320128051133e-11,7.454112117419257736e-05
6.001200480192076700e-11,5.655955392134717736e-05
8.001600640256102266e-11,3.822011003501535700e-05
1.000200080032012783e-10,2.054161288383820201e-05
1.200240096038415340e-10,4.511823547504481514e-06
1.400280112044817897e-10,-8.968120639322644763e-06
1.600320128051220453e-10,-1.913457575739977475e-05
1.800360144057623010e-10,-2.540465200183014300e-05
2.000400160064025567e-10,-2.740937364711819785e-05
2.200440176070428123e-10,-2.501481822077641264e-05
2.400480192076830680e-10,-1.833000015041283344e-05
2.600520208083233237e-10,-7.701023561971175646e-06
2.800560224089635793e-10,6.308181630941697006e-06
3.000600240096038350e-10,2.294745272915173329e-05
3.200640256102440907e-10,4.132251646766401374e-05
3.400680272108843463e-10,6.044523138768241957e-05
3.600720288115246020e-10,7.928907106239978578e-05
3.800760304121648577e-10,9.684666544747847991e-05
4.000800320128051133e-10,1.121860990931955357e-04
4.200840336134453690e-10,1.245027385753734624e-04
4.400880352140856247e-10,1.331636232283001022e-04
4.600920368147258803e-10,1.377418879475901926e-04
4.800960384153661360e-10,1.380392691182380678e-04
5.001000400160063916e-10,1.340954404893227069e-04
5.201040416166466473e-10,1.261836942273784998e-04
5.401080432172869030e-10,1.147932782460176675e-04
5.601120448179271586e-10,1.005994774039514848e-04
5.801160464185674143e-10,8.442323756856697924e-05
6.001200480192076700e-10,6.718273598424928834e-05
6.201240496198479256e-10,4.983976330835721707e-05
6.401280512204881813e-10,3.334407497511676367e-05
6.601320528211284370e-10,1.857897517156649410e-05
6.801360544217686926e-10,6.311309680618091373e-06
7.001400560224089483e-10,-2.851230367701995975e-06
7.201440576230492040e-10,-8.493036627321901136e-06
7.401480592236894596e-10,-1.041187509216722978e-05
7.601520608243297153e-10,-8.627370072775262619e-06
7.801560624249699710e-10,-3.376274085230419311e-06
8.001600640256102266e-10,4.905096893186616931e-06
8.201640656262504823e-10,1.561012273739065292e-05
8.401680672268907380e-10,2.800100294164017866e-05
8.601720688275309936e-10,4.125533619541152722e-05
8.801760704281712493e-10,5.451731431084511212e-05
9.001800720288115050e-10,6.695042742879976617e-05
9.201840736294517606e-10,7.778850216452290359e-05
9.401880752300919129e-10,8.638200946504372613e-05
9.601920768307322720e-10,9.223687702570795973e-05
9.801960784313726310e-10,9.504350383351777140e-05
1.000200080032012783e-09,9.469427360447274880e-05
1.020204081632652936e-09,9.128856328563638020e-05
1.040208083233293295e-09,8.512500018548885402e-05
1.060212084833933654e-09,7.668149109400864587e-05
1.080216086434573806e-09,6.658428269261454098e-05
1.100220088035213958e-09,5.556797055981362108e-05
1.120224089635854317e-09,4.442891479701098533e-05
1.140228091236494676e-09,3.397491157233990057e-05
1.160232092837134829e-09,2.497418856280139514e-05
1.180236094437774981e-09,1.810682568547390044e-05
1.200240096038415340e-09,1.392154912237410198e-05
1.220244097639055699e-09,1.280051617804741067e-05
1.240248099239695851e-09,1.493422133122978699e-05
1.260252100840336004e-09,2.030803966804597410e-05
1.280256102440976363e-09,2.870122003003435543e-05
1.300260104041616722e-09,3.969838927369331557e-05
1.320264105642256874e-09,5.271287633426481774e-05
1.340268107242897026e-09,6.702045562610087269e-05
1.360272108843537385e-09,8.180148623269960966e-05
1.380276110444177744e-09,9.618892357308650638e-05
1.400280112044817897e-09,1.093193334738494336e-04
1.420284113645458049e-09,1.203838651737489975e-04
1.440288115246098408e-09,1.286761496200784652e-04
1.460292116846738767e-09,1.336342812094820393e-04
1.480296118447378919e-09,1.348744027083999622e-04
1.500300120048019072e-09,1.322139220198362156e-04
1.520304121648659431e-09,1.256830145433312162e-04
1.540308123249299790e-09,1.155237679707465102e-04
1.560312124849939942e-09,1.021770648151919719e-04
1.580316126450580094e-09,8.625802712226737670e-05
1.600320128051220453e-09,6.852152379208686938e-05
1.620324129651860812e-09,4.981982324999097627e-05
1.640328131252500965e-09,3.105492821501388894e-05
1.660332132853141117e-09,1.312842831063785387e-05
1.680336134453781476e-09,-3.108166947375137136e-06
1.700340136054421835e-09,-1.689970434773214897e-05
1.720344137655061987e-09,-2.762758870455900032e-05
1.740348139255702140e-09,-3.484161311272439569e-05
1.760352140856342499e-09,-3.828164289924179935e-05
1.780356142456982858e-09,-3.788800353265769412e-05
1.800360144057623010e-09,-3.380011220036445240e-05
1.820364145658263162e-09,-2.634360422236582414e-05
1.840368147258903521e-09,-1.600689553666813272e-05
1.860372148859543880e-09,-3.408749257549916162e-06
1.880376150460183826e-09,1.074105998276265434e-05
1.900380152060824185e-09,2.568549695040973961e-05
1.920384153661464544e-09,4.066570734457513589e-05
1.940388155262104903e-09,5.496535663940407086e-05
1.960392156862745262e-09,6.795117628111141264e-05
1.980396158463385208e-09,7.910729509974639691e-05
2.000400160064025567e-09,8.806134844027100348e-05
2.020404161664665926e-09,9.460089241624918400e-05
2.040408163265305871e-09,9.867927203058923867e-05
2.060412164865946230e-09,1.004107606845599881e-04
2.080416166466586589e-09,1.000554631302472093e-04
2.100420168067226948e-09,9.799511233148521818e-05
2.120424169667867307e-09,9.470145357773261067e-05
2.140428171268507253e-09,9.069936198269473444e-05
2.160432172869147612e-09,8.652715459717817855e-05
2.180436174469787971e-09,8.269671684898199818e-05
2.200440176070427916e-09,7.965605574507057167e-05
2.220444177671068276e-09,7.775672041366292085e-05
2.240448179271708635e-09,7.722820553431538368e-05
2.260452180872348994e-09,7.816099588273800729e-05
2.280456182472989353e-09,8.049934964215739279e-05
2.300460184073629298e-09,8.404428970365171708e-05
2.320464185674269657e-09,8.846661537260526562e-05
2.340468187274910016e-09,9.332910294150102693e-05
2.360472188875549962e-09,9.811647271968550600e-05
2.380476190476190321e-09,1.022711992923789291e-04
2.400480192076830680e-09,1.052328622061142829e-04
2.420484193677471039e-09,1.064784996359449958e-04
2.440488195278111398e-09,1.055613524592032633e-04
2.460492196878751344e-09,1.021454752191905695e-04
2.480496198479391703e-09,9.603393816707367044e-05
2.500500200080032062e-09,8.718873551186604527e-05
2.520504201680672007e-09,7.574102491332866194e-05
2.540508203281312366e-09,6.199092045171175191e-05
2.560512204881952725e-09,4.639670874769344941e-05
2.580516206482593084e-09,2.955401541759031567e-05
2.600520208083233443e-09,1.216607586130030947e-05
2.620524209683873389e-09,-4.993178373789242545e-06
2.640528211284513748e-09,-2.112105327530325655e-05
2.660532212885154107e-09,-3.543056079835007062e-05
2.680536214485794052e-09,-4.719476796251927657e-05
2.700540216086434412e-09,-5.578836639384416717e-05
2.720544217687074771e-09,-6.072395906190956817e-05
2.740548219287715130e-09,-6.168087146557233195e-05
2.760552220888355489e-09,-5.852473946109248716e-05
2.780556222488995434e-09,-5.131667798980735706e-05
2.800560224089635793e-09,-4.031146020688144711e-05
2.820564225690276152e-09,-2.594479653488812474e-05
2.840568227290916098e-09,-8.810457459028347356e-06
2.860572228891556457e-09,1.037140768595908795e-05
2.880576230492196816e-09,3.079287834070068108e-05
2.900580232092837175e-09,5.160150901137048403e-05
2.920584233693477534e-09,7.194565643194317510e-05
2.940588235294117480e-09,9.101921617824504081e-05
2.960592236894757839e-09,1.081031466869207937e-04
2.980596238495398198e-09,1.226013675992554657e-04
3.000600240096038143e-09,1.340689746336125765e-04
3.020604241696678502e-09,1.422311925477046015e-04
3.040608243297318861e-09,1.469920613319956122e-04
3.060612244897959220e-09,1.484324829801953794e-04
3.080616246498599579e-09,1.467979078810970127e-04
3.100620248099239525e-09,1.424765708295239988e-04
3.120624249699879884e-09,1.359697579895414662e-04
3.140628251300520243e-09,1.278560627897674213e-04
