# Time (s),Amplitude (V)
0.000000000000000000e+00,9.884026608043002362e-05
2.000400160064025567e-11,1.170985576270054934e-04
4.000800320128051133e-11,1.321151899471811441e-04
6.001200480192076700e-11,1.434588222743692618e-04
8.001600640256102266e-11,1.509239587033687992e-04
1.000200080032012783e-10,1.545297380700915455e-04
1.200240096038415340e-10,1.545053015346329684e-04
1.400280112044817897e-10,1.512630579081606665e-04
1.600320128051220453e-10,1.453618800097184090e-04
1.800360144057623010e-10,1.374628403024406192e-04
2.000400160064025567e-10,1.282804973231977991e-04
2.200440176070428123e-10,1.185329535194094223e-04
2.400480192076830680e-10,1.088939098138546962e-04
2.600520208083233237e-10,9.994974504838377485e-05
2.800560224089635793e-10,9.216426438041138303e-05
3.000600240096038350e-10,8.585321612161514438e-05
3.200640256102440907e-10,8.117000748168982525e-05
3.400680272108843463e-10,7.810329964512183307e-05
3.600720288115246020e-10,7.648637959791602004e-05
3.800760304121648577e-10,7.601743975691053394e-05
4.000800320128051133e-10,7.628919484735248696e-05
4.200840336134453690e-10,7.682567226750086056e-05
4.400880352140856247e-10,7.712356385508958596e-05
4.600920368147258803e-10,7.669525064223260561e-05
4.800960384153661360e-10,7.511052400124767028e-05
5.001000400160063916e-10,7.203413076081887517e-05
5.201040416166466473e-10,6.725655856218921210e-05
5.401080432172869030e-10,6.071593154059555362e-05
5.601120448179271586e-10,5.250947574329945910e-05
5.801160464185674143e-10,4.289370057617255860e-05
6.001200480192076700e-10,3.227318311554594775e-05
6.201240496198479256e-10,2.117858929895807718e-05
6.401280512204881813e-10,1.023527254470812505e-05
6.601320528211284370e-10,1.244117068859375227e-07
6.801360544217686926e-10,-8.460852605471877485e-06
7.001400560224089483e-10,-1.486148261724267396e-05
7.201440576230492040e-10,-1.849784325944235159e-05
7.401480592236894596e-10,-1.891129393593280288e-05
7.601520608243297153e-10,-1.579933678775865714e-05
7.801560624249699710e-10,-9.041966916086523407e-06
8.001600640256102266e-10,1.282599883160143341e-06
8.201640656262504823e-10,1.489399981875731269e-05
8.401680672268907380e-10,3.131804927310511441e-05
8.601720688275309936e-10,4.990702880882078886e-05
8.801760704281712493e-10,6.987088353179677692e-05
9.001800720288115050e-10,9.031762088848602015e-05
9.201840736294517606e-10,1.103006097685881726e-04
9.401880752300919129e-10,1.288700453234257082e-04
9.601920768307322720e-10,1.451255692018208398e-04
9.801960784313726310e-10,1.582669418711456981e-04
1.000200080032012783e-09,1.676397581071306458e-04
1.020204081632652936e-09,1.727734729804221968e-04
1.040208083233293295e-09,1.734094470340780147e-04
1.060212084833933654e-09,1.695172991589180122e-04
1.080216086434573806e-09,1.612985389108753838e-04
1.100220088035213958e-09,1.491771954787465371e-04
1.120224089635854317e-09,1.337779233617157723e-04
1.140228091236494676e-09,1.158927992996288249e-04
1.160232092837134829e-09,9.643868721033635298e-05
1.180236094437774981e-09,7.640759845608469862e-05
1.200240096038415340e-09,5.681288115103649210e-05
1.220244097639055699e-09,3.863431072681555777e-05
1.240248099239695851e-09,2.276521103222007647e-05
1.260252100840336004e-09,9.964608265553051610e-06
1.280256102440976363e-09,8.171174224788557494e-07
1.300260104041616722e-09,-4.297198429393694387e-06
1.320264105642256874e-09,-5.221343768863568557e-06
1.340268107242897026e-09,-2.027309933830167656e-06
1.360272108843537385e-09,4.990839822430044945e-06
1.380276110444177744e-09,1.533621576578927899e-05
1.400280112044817897e-09,2.833946750705697680e-05
1.420284113645458049e-09,4.319843052961293902e-05
1.440288115246098408e-09,5.902469733502534513e-05
1.460292116846738767e-09,7.489438328021909123e-05
1.480296118447378919e-09,8.990014649717950287e-05
1.500300120048019072e-09,1.032014844513583999e-04
1.520304121648659431e-09,1.140704669556160035e-04
1.540308123249299790e-09,1.219303667009253959e-04
1.560312124849939942e-09,1.263850938583311451e-04
1.580316126450580094e-09,1.272379029637379488e-04
1.600320128051220453e-09,1.244984834954497176e-04
1.620324129651860812e-09,1.183782312362167494e-04
1.640328131252500965e-09,1.092741846449783141e-04
1.660332132853141117e-09,9.774275846050368565e-05
1.680336134453781476e-09,8.446497796451463722e-05
1.700340136054421835e-09,7.020537917511515745e-05
1.720344137655061987e-09,5.576706719713812269e-05
1.740348139255702140e-09,4.194559988758370529e-05
1.760352140856342499e-09,2.948437913856088622e-05
1.780356142456982858e-09,1.903408930819126192e-05
1.800360144057623010e-09,1.111843293462855050e-05
1.820364145658263162e-09,6.107997692072349636e-06
1.840368147258903521e-09,4.203572691659833598e-06
1.860372148859543880e-09,5.429649261762130961e-06
1.880376150460183826e-09,9.638227278654458690e-06
1.900380152060824185e-09,1.652244015571323695e-05
1.920384153661464544e-09,2.563894588269232880e-05
1.940388155262104903e-09,3.643754093725708155e-05
1.960392156862745262e-09,4.829606621152100011e-05
1.980396158463385208e-09,6.055841030118949339e-05
2.000400160064025567e-09,7.257328869134452298e-05
2.020404161664665926e-09,8.373149211791656890e-05
2.040408163265305871e-09,9.349944958950582251e-05
2.060412164865946230e-09,1.014472289283632246e-04
2.080416166466586589e-09,1.072694805998431448e-04
2.100420168067226948e-09,1.107982934580121277e-04
2.120424169667867307e-09,1.120074439635227782e-04
2.140428171268507253e-09,1.110080511856738550e-04
2.160432172869147612e-09,1.080361658849200517e-04
2.180436174469787971e-09,1.034332922428952587e-04
2.200440176070427916e-09,9.762123794965977858e-05
2.220444177671068276e-09,9.107299005656697402e-05
2.240448179271708635e-09,8.428150434867899207e-05
2.260452180872348994e-09,7.772836625843502383e-05
2.280456182472989353e-09,7.185423042974312395e-05
2.300460184073629298e-09,6.703278028915478641e-05
2.320464185674269657e-09,6.354968167306360182e-05
2.340468187274910016e-09,6.158765489264481161e-05
2.360472188875549962e-09,6.121838137970927595e-05
2.380476190476190321e-09,6.240152105581694324e-05
2.400480192076830680e-09,6.499067284894378353e-05
2.420484193677471039e-09,6.874569090796852537e-05
2.440488195278111398e-09,7.335039832971905656e-05
2.460492196878751344e-09,7.843444019706129883e-05
2.480496198479391703e-09,8.359780495475220617e-05
2.500500200080032062e-09,8.843642826397417485e-05
2.520504201680672007e-09,9.256728063963174204e-05
2.540508203281312366e-09,9.565142703477828943e-05
2.560512204881952725e-09,9.741372452319370259e-05
2.580516206482593084e-09,9.765807924402292986e-05
2.600520208083233443e-09,9.627749727130112205e-05
2.620524209683873389e-09,9.325851432888805333e-05
2.640528211284513748e-09,8.867995287887649365e-05
2.660532212885154107e-09,8.270630850663017192e-05
2.680536214485794052e-09,7.557638852747875391e-05
2.700540216086434412e-09,6.758809491774636917e-05
2.720544217687074771e-09,5.908044555810305052e-05
2.740548219287715130e-09,5.041405171457697239e-05
2.760552220888355489e-09,4.195131045714496913e-05
2.780556222488995434e-09,3.403752865672631845e-05
2.800560224089635793e-09,2.698407610075498147e-05
2.820564225690276152e-09,2.105447977947878558e-05
2.840568227290916098e-09,1.645413423772904479e-05
2.860572228891556457e-09,1.332403175702125093e-05
2.880576230492196816e-09,1.173863042373863186e-05
2.900580232092837175e-09,1.170769764644114564e-05
2.920584233693477534e-09,1.318171022276994316e-05
2.940588235294117480e-09,1.606017625070274514e-05
2.960592236894757839e-09,2.020208239310970693e-05
2.980596238495398198e-09,2.543757150083285080e-05
3.000600240096038143e-09,3.157992502528693607e-05
3.020604241696678502e-09,3.843696182433559296e-05
3.040608243297318861e-09,4.582106498446427567e-05
3.060612244897959220e-09,5.355720198507044283e-05
3.080616246498599579e-09,6.148849820672643463e-05
3.100620248099239525e-09,6.947914411521527542e-05
3.120624249699879884e-09,7.741464565509961705e-05
3.140628251300520243e-09,8.519964836826494263e-05
3.160632252901160188e-09,9.275376234258350780e-05
3.180636254501800547e-09,1.000059731610712470e-04
3.200640256102440907e-09,1.068883323881673208e-04
3.220644257703081266e-09,1.133296724016273637e-04
3.240648259303721625e-09,1.192500813303727734e-04
3.260652260904361570e-09,1.245568056933380873e-04
3.280656262505001929e-09,1.291421265028422772e-04
3.300660264105642288e-09,1.328835883999143308e-04
3.320664265706282234e-09,1.356467633236499025e-04
3.340668267306922593e-09,1.372905150026805651e-04
3.360672268907562952e-09,1.376745141818894863e-04
