Column1,Column2
0,0.011691524
2.0004E-11,0.005866739
4.0008E-11,-0.000191826
6.0012E-11,-0.006313106
8.0016E-11,-0.012327054
1.0002E-10,-0.018071207
1.20024E-10,-0.023396678
1.40028E-10,-0.028173275
1.60032E-10,-0.032293542
1.80036E-10,-0.035675543
2.0004E-10,-0.038264327
2.20044E-10,-0.040032044
2.40048E-10,-0.040976785
2.60052E-10,-0.041120291
2.80056E-10,-0.040504704
3.0006E-10,-0.039188629
3.20064E-10,-0.037242749
3.40068E-10,-0.034745302
3.60072E-10,-0.031777698
3.80076E-10,-0.02842052
4.0008E-10,-0.024750162
4.20084E-10,-0.020836254
4.40088E-10,-0.016740001
4.60092E-10,-0.012513484
4.80096E-10,-0.008199909
5.001E-10,-0.003834707
5.20104E-10,0.000552632
5.40108E-10,0.004936206
5.60112E-10,0.009291036
5.80116E-10,0.013590335
6.0012E-10,0.017802968
6.20124E-10,0.021891329
6.40128E-10,0.025809837
6.60132E-10,0.029504222
6.80136E-10,0.032911694
7.0014E-10,0.03596206
7.20144E-10,0.038579742
7.40148E-10,0.040686631
7.60152E-10,0.042205621
7.80156E-10,0.043064617
8.0016E-10,0.043200793
8.20164E-10,0.042564816
8.40168E-10,0.04112478
8.60172E-10,0.038869563
8.80176E-10,0.035811391
9.0018E-10,0.03198739
9.20184E-10,0.027459982
9.40188E-10,0.022316059
9.60192E-10,0.016664912
9.80196E-10,0.010634976
1.0002E-09,0.004369538
1.0202E-09,-0.001978409
1.04021E-09,-0.008251897
1.06021E-09,-0.014296038
1.08022E-09,-0.019964049
1.10022E-09,-0.025122972
1.12022E-09,-0.02965875
1.14023E-09,-0.033480406
1.16023E-09,-0.036523105
1.18024E-09,-0.038749918
1.20024E-09,-0.040152212
1.22024E-09,-0.040748664
1.24025E-09,-0.040582932
1.26025E-09,-0.039720166
1.28026E-09,-0.038242537
1.30026E-09,-0.036244069
1.32026E-09,-0.033825065
1.34027E-09,-0.031086472
1.36027E-09,-0.028124491
1.38028E-09,-0.025025775
1.40028E-09,-0.021863465
1.42028E-09,-0.018694314
1.44029E-09,-0.015557036
1.46029E-09,-0.012471986
1.4803E-09,-0.009442156
1.5003E-09,-0.006455421
1.5203E-09,-0.003487864
1.54031E-09,-0.000507976
1.56031E-09,0.002518572
1.58032E-09,0.005623883
1.60032E-09,0.008832868
1.62032E-09,0.012158686
1.64033E-09,0.015598909
1.66033E-09,0.019132685
1.68034E-09,0.022719124
1.70034E-09,0.026297037
1.72034E-09,0.029786102
1.74035E-09,0.03308944
1.76035E-09,0.036097471
1.78036E-09,0.038692889
1.80036E-09,0.04075647
1.82036E-09,0.042173419
1.84037E-09,0.042839883
1.86037E-09,0.042669271
1.88038E-09,0.041598009
1.90038E-09,0.03959038
1.92038E-09,0.036642159
1.94039E-09,0.0327828
1.96039E-09,0.028076018
1.9804E-09,0.022618703
2.0004E-09,0.016538163
2.0204E-09,0.00998784
2.04041E-09,0.003141661
2.06041E-09,-0.003812671
2.08042E-09,-0.01068114
2.10042E-09,-0.017271241
2.12042E-09,-0.023399779
2.14043E-09,-0.028900247
2.16043E-09,-0.033629407
2.18044E-09,-0.037472754
2.20044E-09,-0.040348584
2.22044E-09,-0.0422105
2.24045E-09,-0.043048221
2.26045E-09,-0.042886712
2.28046E-09,-0.041783692
2.30046E-09,-0.03982571
2.32046E-09,-0.037122998
2.34047E-09,-0.033803443
2.36047E-09,-0.030005982
2.38048E-09,-0.02587383
2.40048E-09,-0.021547872
2.42048E-09,-0.017160601
2.44049E-09,-0.012830884
2.46049E-09,-0.008659834
2.4805E-09,-0.004727947
2.5005E-09,-0.001093619
2.5205E-09,0.002206944
2.54051E-09,0.005158498
2.56051E-09,0.007764341
2.58052E-09,0.010042948
2.60052E-09,0.012023889
2.62052E-09,0.013743367
2.64053E-09,0.015239672
2.66053E-09,0.01654888
2.68054E-09,0.017701081
2.70054E-09,0.01871739
2.72054E-09,0.019607927
2.74055E-09,0.0203709
2.76055E-09,0.020992817
2.78056E-09,0.021449822
2.80056E-09,0.021710021
2.82056E-09,0.021736632
2.84057E-09,0.021491725
2.86057E-09,0.020940272
2.88058E-09,0.020054213
2.90058E-09,0.018816218
2.92058E-09,0.017222889
2.94059E-09,0.015287112
2.96059E-09,0.013039387
2.9806E-09,0.01052799
3.0006E-09,0.007817905
3.0206E-09,0.004988554
3.04061E-09,0.002130415
3.06061E-09,-0.00065928
3.08062E-09,-0.003281548
3.10062E-09,-0.005641048
3.12062E-09,-0.007651551
3.14063E-09,-0.009241143
3.16063E-09,-0.010356828
3.18064E-09,-0.010968239
3.20064E-09,-0.011070177
3.22064E-09,-0.01068381
3.24065E-09,-0.009856396
3.26065E-09,-0.008659512
3.28066E-09,-0.007185839
3.30066E-09,-0.005544646
3.32066E-09,-0.003856199
3.34067E-09,-0.002245395
3.36067E-09,-0.000834945
3.38068E-09,0.000261499
3.40068E-09,0.000945903
3.42068E-09,0.001141701
3.44069E-09,0.000798621
3.46069E-09,-0.000103826
3.4807E-09,-0.001554389
3.5007E-09,-0.003509806
3.5207E-09,-0.00589624
3.54071E-09,-0.008612376
3.56071E-09,-0.011534031
3.58072E-09,-0.01452004
3.60072E-09,-0.017419115
3.62072E-09,-0.02007731
3.64073E-09,-0.022345701
3.66073E-09,-0.024087871
3.68074E-09,-0.025186796
3.70074E-09,-0.02555077
3.72074E-09,-0.025118062
3.74075E-09,-0.023860052
3.76075E-09,-0.021782698
3.78076E-09,-0.018926269
3.80076E-09,-0.015363375
3.82076E-09,-0.011195419
3.84077E-09,-0.006547686
3.86077E-09,-0.001563351
3.88078E-09,0.003603252
3.90078E-09,0.008793729
3.92078E-09,0.013852696
3.94079E-09,0.018634445
3.96079E-09,0.023008853
3.9808E-09,0.026866239
4.0008E-09,0.030120932
4.0208E-09,0.032713404
4.04081E-09,0.034610904
4.06081E-09,0.035806617
4.08082E-09,0.036317465
4.10082E-09,0.036180739
4.12082E-09,0.035449829
4.14083E-09,0.034189347
4.16083E-09,0.032469988
4.18084E-09,0.030363481
4.20084E-09,0.027937944
4.22084E-09,0.025253952
4.24085E-09,0.022361567
4.26085E-09,0.019298494
4.28086E-09,0.016089479
4.30086E-09,0.012746942
4.32086E-09,0.009272809
4.34087E-09,0.005661354
4.36087E-09,0.00190287
4.38088E-09,-0.002012138
4.40088E-09,-0.006088527
4.42088E-09,-0.010322207
4.44089E-09,-0.014696272
4.46089E-09,-0.019177871
4.4809E-09,-0.023716097
4.5009E-09,-0.028241082
4.5209E-09,-0.032664428
4.54091E-09,-0.036881031
4.56091E-09,-0.040772241
4.58092E-09,-0.044210234
4.60092E-09,-0.047063397
4.62092E-09,-0.04920244
4.64093E-09,-0.050506916
4.66093E-09,-0.050871786
4.68094E-09,-0.050213648
4.70094E-09,-0.048476288
4.72094E-09,-0.045635191
4.74095E-09,-0.041700759
4.76095E-09,-0.036719997
4.78096E-09,-0.030776554
4.80096E-09,-0.023989058
4.82096E-09,-0.0165078
4.84097E-09,-0.0085099
4.86097E-09,-0.000193184
4.88098E-09,0.008230958
4.90098E-09,0.016545362
4.92098E-09,0.024535174
4.94099E-09,0.031995814
4.96099E-09,0.038740452
4.981E-09,0.044606624
5.001E-09,0.049461689
5.021E-09,0.053206886
5.04101E-09,0.055779821
5.06101E-09,0.057155304
5.08102E-09,0.057344554
5.10102E-09,0.056392864
5.12102E-09,0.054375897
5.14103E-09,0.051394866
5.16103E-09,0.047570888
5.18104E-09,0.04303885
5.20104E-09,0.037941116
5.22104E-09,0.032421437
5.24105E-09,0.02661936
5.26105E-09,0.020665411
5.28106E-09,0.014677272
5.30106E-09,0.008757083
5.32106E-09,0.002989946
5.34107E-09,-0.00255637
5.36107E-09,-0.007830628
5.38108E-09,-0.012796348
5.40108E-09,-0.017429284
5.42108E-09,-0.02171438
5.44109E-09,-0.025642484
5.46109E-09,-0.029207089
5.4811E-09,-0.032401356
5.5011E-09,-0.035215661
5.5211E-09,-0.037635836
5.54111E-09,-0.039642251
5.56111E-09,-0.041209784
5.58112E-09,-0.042308699
5.60112E-09,-0.042906338
5.62112E-09,-0.042969525
5.64113E-09,-0.042467477
5.66113E-09,-0.041375011
5.68114E-09,-0.03967581
5.70114E-09,-0.037365474
5.72114E-09,-0.034454135
5.74115E-09,-0.030968405
5.76115E-09,-0.026952489
5.78116E-09,-0.02246833
5.80116E-09,-0.017594741
5.82116E-09,-0.012425518
5.84117E-09,-0.007066603
5.86117E-09,-0.00163245
5.88118E-09,0.003758232
5.90118E-09,0.008987118
5.92118E-09,0.013941027
5.94119E-09,0.018516526
5.96119E-09,0.022624112
5.9812E-09,0.026191716
6.0012E-09,0.029167338
6.0212E-09,0.031520629
6.04121E-09,0.033243347
6.06121E-09,0.034348646
6.08122E-09,0.034869251
6.10122E-09,0.03485462
6.12122E-09,0.034367278
6.14123E-09,0.033478536
6.16123E-09,0.032263875
6.18124E-09,0.030798259
6.20124E-09,0.029151682
6.22124E-09,0.027385218
6.24125E-09,0.025547804
6.26125E-09,0.02367398
6.28126E-09,0.021782693
6.30126E-09,0.019877252
6.32126E-09,0.017946423
6.34127E-09,0.015966592
6.36127E-09,0.013904846
6.38128E-09,0.011722768
6.40128E-09,0.009380702
6.42128E-09,0.006842197
6.44129E-09,0.004078338
6.46129E-09,0.001071666
6.4813E-09,-0.002180561
6.5013E-09,-0.005664025
