# Time (s),Amplitude (V)
0.000000000000000000e+00,2.031232842578378761e-04
2.000400160064025567e-11,1.967340137543737832e-04
4.000800320128051133e-11,1.895694847112634773e-04
6.001200480192076700e-11,1.822481925871972008e-04
8.001600640256102266e-11,1.753158201651884205e-04
1.000200080032012783e-10,1.692146649613520369e-04
1.200240096038415340e-10,1.642612544821774826e-04
1.400280112044817897e-10,1.606332725372496906e-04
1.600320128051220453e-10,1.583663206510359505e-04
1.800360144057623010e-10,1.573604181343524980e-04
2.000400160064025567e-10,1.573955401937776827e-04
2.200440176070428123e-10,1.581549418312117657e-04
2.400480192076830680e-10,1.592545489589304543e-04
2.600520208083233237e-10,1.602763444451032397e-04
2.800560224089635793e-10,1.608034559885518204e-04
3.000600240096038350e-10,1.604545769174532416e-04
3.200640256102440907e-10,1.589154234511459254e-04
3.400680272108843463e-10,1.559651469373538740e-04
3.600720288115246020e-10,1.514959627593805993e-04
3.800760304121648577e-10,1.455247070066834883e-04
4.000800320128051133e-10,1.381955593314127299e-04
4.200840336134453690e-10,1.297737427995885131e-04
4.400880352140856247e-10,1.206305935535019642e-04
4.600920368147258803e-10,1.112209488622206433e-04
4.800960384153661360e-10,1.020542975183984225e-04
5.001000400160063916e-10,9.366154118812157557e-05
5.201040416166466473e-10,8.655950447979464488e-05
5.401080432172869030e-10,8.121548748732565395e-05
5.601120448179271586e-10,7.801416780894042445e-05
5.801160464185674143e-10,7.722902865747862744e-05
6.001200480192076700e-10,7.900022347603121451e-05
6.201240496198479256e-10,8.332040150761908521e-05
6.401280512204881813e-10,9.002953633919740764e-05
6.601320528211284370e-10,9.881924970093488659e-05
6.801360544217686926e-10,1.092465390075466079e-04
7.001400560224089483e-10,1.207562346216851923e-04
7.201440576230492040e-10,1.327109669462864358e-04
7.401480592236894596e-10,1.444269474090270600e-04
7.601520608243297153e-10,1.552134902889565349e-04
7.801560624249699710e-10,1.644139473721833598e-04
8.001600640256102266e-10,1.714456106110738792e-04
8.201640656262504823e-10,1.758361670640532534e-04
8.401680672268907380e-10,1.772544645204524386e-04
8.601720688275309936e-10,1.755336558231504669e-04
8.801760704281712493e-10,1.706852173602076963e-04
9.001800720288115050e-10,1.629028578490765303e-04
