# Time (s), DUT (V)
1.680336134453780028e-09,3.812450969706560056e-03
1.700340136054419974e-09,3.710496300066219895e-03
1.720344137655059919e-09,3.562517911966899854e-03
1.740348139255700072e-09,3.382518211020629946e-03
1.760352140856340017e-09,3.186264730137329786e-03
1.780356142456979963e-09,2.990273950372220046e-03
1.800360144057619908e-09,2.810781862803419899e-03
1.820364145658260060e-09,2.662761502660180007e-03
1.840368147258900006e-09,2.559043049805970107e-03
1.860372148859539951e-09,2.509584363487559963e-03
1.880376150460180103e-09,2.520929551719230076e-03
1.900380152060820049e-09,2.595881047566809836e-03
1.920384153661459994e-09,2.733397446881790076e-03
1.940388155262109866e-09,2.928715865526790134e-03
1.960392156862749812e-09,3.173684602087179993e-03
1.980396158463390171e-09,3.457280190330109821e-03
2.000400160064030116e-09,3.766273141932959846e-03
2.020404161664670062e-09,4.085999326223889797e-03
2.040408163265310007e-09,4.401189360933459999e-03
2.060412164865949953e-09,4.696806769453640111e-03
2.080416166466589898e-09,4.958846987038260413e-03
2.100420168067229843e-09,5.175053386064419787e-03
2.120424169667870203e-09,5.335512994657569570e-03
2.140428171268510148e-09,5.433103027427840272e-03
2.160432172869150093e-09,5.463769154724789669e-03
2.180436174469790039e-09,5.426626969890400130e-03
2.200440176070429984e-09,5.323888714463469868e-03
2.220444177671069930e-09,5.160627350810719979e-03
2.240448179271709875e-09,4.944398951210259886e-03
2.260452180872349821e-09,4.684751614853179674e-03
2.280456182472990180e-09,4.392654360917749856e-03
2.300460184073630125e-09,4.079882445607139682e-03
2.320464185674270071e-09,3.758396228610779832e-03
2.340468187274910016e-09,3.439749131349480096e-03
2.360472188875549962e-09,3.134556583240359802e-03
2.380476190476189907e-09,2.852052461374660151e-03
2.400480192076829853e-09,2.599752805228160071e-03
2.420484193677469798e-09,2.383239010384589993e-03
2.440488195278110157e-09,2.206064784149689827e-03
2.460492196878750103e-09,2.069783392318569944e-03
2.480496198479390048e-09,1.974084617688259997e-03
2.500500200080029994e-09,1.917024802668420040e-03
2.520504201680669939e-09,1.895328690390980005e-03
2.540508203281309885e-09,1.904738736547440013e-03
2.560512204881949830e-09,1.940386250017850063e-03
2.580516206482590189e-09,1.997159129012849969e-03
2.600520208083230135e-09,2.070042974582399827e-03
2.620524209683870080e-09,2.154415769061029939e-03
2.640528211284510026e-09,2.246280805990190192e-03
2.660532212885149971e-09,2.342427794492099938e-03
2.680536214485789917e-09,2.440517647153030070e-03
2.700540216086429862e-09,2.539092002037269830e-03
2.720544217687069807e-09,2.637513654765789948e-03
2.740548219287720093e-09,2.735848457496370140e-03
2.760552220888360038e-09,2.834702617591419987e-03
2.780556222488999984e-09,2.935031517792360042e-03
2.800560224089639929e-09,3.037937091629239889e-03
2.820564225690279875e-09,3.144470423834480003e-03
2.840568227290919820e-09,3.255454696607209923e-03
2.860572228891560179e-09,3.371341039147679811e-03
2.880576230492200125e-09,3.492106494222020109e-03
2.900580232092840070e-09,3.617199473585260179e-03
2.920584233693480016e-09,3.745534038063289949e-03
2.940588235294119961e-09,3.875530416622949975e-03
2.960592236894759907e-09,4.005195658899620217e-03
2.980596238495399852e-09,4.132235445761240147e-03
3.000600240096039797e-09,4.254186053964750282e-03
3.020604241696680157e-09,4.368554407115790052e-03
3.040608243297320102e-09,4.472954093300869974e-03
3.060612244897960047e-09,4.565226160248329716e-03
3.080616246498599993e-09,4.643535309334320162e-03
3.100620248099239938e-09,4.706434633090120050e-03
3.120624249699879884e-09,4.752895060516349780e-03
3.140628251300519829e-09,4.782298939893640279e-03
3.160632252901160188e-09,4.794400434894430241e-03
3.180636254501800134e-09,4.789258377445269714e-03
3.200640256102440079e-09,4.767149674728560389e-03
3.220644257703080025e-09,4.728473114393449972e-03
3.240648259303719970e-09,4.673654313885339771e-03
3.260652260904359916e-09,4.603062543519279709e-03
3.280656262504999861e-09,4.516949216744029980e-03
3.300660264105639807e-09,4.415416052051010336e-03
3.320664265706280166e-09,4.298418402700130217e-03
3.340668267306920111e-09,4.165806210314629623e-03
3.360672268907560057e-09,4.017401696532779676e-03
3.380676270508200002e-09,3.853109517814250207e-03
3.400680272108839948e-09,3.673051933000250069e-03
3.420684273709479893e-09,3.477718820580949846e-03
3.440688275310119839e-09,3.268120350703430065e-03
3.460692276910760198e-09,3.045928938199150143e-03
3.480696278511400143e-09,2.813596890472429973e-03
3.500700280112040089e-09,2.574436963368819872e-03
3.520704281712689960e-09,2.332654823705729904e-03
3.540708283313329906e-09,2.093325092593109876e-03
3.560712284913969851e-09,1.862306048337679983e-03
3.580716286514609797e-09,1.646091987360899988e-03
3.600720288115250156e-09,1.451606421203420049e-03
3.620724289715890101e-09,1.285943450374149978e-03
3.640728291316530047e-09,1.156068519982579893e-03
