# Time (s),Amplitude (V)
0.000000000000000000e+00,6.255229769892821921e-05
2.000400160064025567e-11,8.187556448354760350e-05
4.000800320128051133e-11,9.954895082129230888e-05
6.001200480192076700e-11,1.144587738035996003e-04
8.001600640256102266e-11,1.256438877584161124e-04
1.000200080032012783e-10,1.323560433809418285e-04
1.200240096038415340e-10,1.341080070995491632e-04
1.400280112044817897e-10,1.307064267217052176e-04
1.600320128051220453e-10,1.222673248103818382e-04
1.800360144057623010e-10,1.092131297327374374e-04
2.000400160064025567e-10,9.225125492443354033e-05
2.200440176070428123e-10,7.233534405716747213e-05
2.400480192076830680e-10,5.061134716901435524e-05
2.600520208083233237e-10,2.835151739483858182e-05
2.800560224089635793e-10,6.880163697265353107e-06
3.000600240096038350e-10,-1.250448361789563957e-05
3.200640256102440907e-10,-2.860767324605493291e-05
3.400680272108843463e-10,-4.041018717109725965e-05
3.600720288115246020e-10,-4.713072140141973880e-05
3.800760304121648577e-10,-4.827480962655195020e-05
4.000800320128051133e-10,-4.366727878133302065e-05
4.200840336134453690e-10,-3.346618182152669428e-05
4.400880352140856247e-10,-1.815723722325787200e-05
4.600920368147258803e-10,1.471046972695271439e-06
4.800960384153661360e-10,2.437024223866476432e-05
5.001000400160063916e-10,4.929046670094305941e-05
5.201040416166466473e-10,7.485111838166465183e-05
5.401080432172869030e-10,9.961979775623933282e-05
5.601120448179271586e-10,1.221948352119486228e-04
5.801160464185674143e-10,1.412865997822757816e-04
6.001200480192076700e-10,1.557928101982087091e-04
6.201240496198479256e-10,1.648633965217972594e-04
6.401280512204881813e-10,1.679510523469619754e-04
6.601320528211284370e-10,1.648444399596589373e-04
6.801360544217686926e-10,1.556820163413141843e-04
7.001400560224089483e-10,1.409455778431850442e-04
7.201440576230492040e-10,1.214338095204111549e-04
7.401480592236894596e-10,9.821730157264048822e-05
7.601520608243297153e-10,7.257759058630833932e-05
7.801560624249699710e-10,4.593373233961571675e-05
8.001600640256102266e-10,1.976065926715003760e-05
8.201640656262504823e-10,-4.495925520907934457e-06
8.401680672268907380e-10,-2.550314484163916699e-05
8.601720688275309936e-10,-4.211813280795274444e-05
8.801760704281712493e-10,-5.345426684143911571e-05
9.001800720288115050e-10,-5.893253250430068193e-05
9.201840736294517606e-10,-5.831496809917602390e-05
9.401880752300919129e-10,-5.171817930259768706e-05
9.601920768307322720e-10,-3.960607912969940880e-05
9.801960784313726310e-10,-2.276222706830904069e-05
1.000200080032012783e-09,-2.243341712360229440e-06
1.020204081632652936e-09,2.068332703617860289e-05
1.040208083233293295e-09,4.461512282833972901e-05
1.060212084833933654e-09,6.809721534314959815e-05
1.080216086434573806e-09,8.970906057413990616e-05
1.100220088035213958e-09,1.081490040756557581e-04
1.120224089635854317e-09,1.223120354639492047e-04
1.140228091236494676e-09,1.313560891777663616e-04
1.160232092837134829e-09,1.347529448979579731e-04
1.180236094437774981e-09,1.323206732045148189e-04
1.200240096038415340e-09,1.242356462656820477e-04
1.220244097639055699e-09,1.110233270903777567e-04
1.240248099239695851e-09,9.352829441062081772e-05
1.260252100840336004e-09,7.286518083093734279e-05
1.280256102440976363e-09,5.035332789391321734e-05
1.300260104041616722e-09,2.743892696652127993e-05
1.320264105642256874e-09,5.609162456815530717e-06
1.340268107242897026e-09,-1.369664046295746815e-05
1.360272108843537385e-09,-2.917366671095711974e-05
1.380276110444177744e-09,-3.973097206504916200e-05
1.400280112044817897e-09,-4.455887073102102018e-05
1.420284113645458049e-09,-4.318034641590696315e-05
1.440288115246098408e-09,-3.548339855616980984e-05
1.460292116846738767e-09,-2.173233253766815911e-05
1.480296118447378919e-09,-2.557218560605175649e-06
1.500300120048019072e-09,2.107799235557864288e-05
