# Time (s),Amplitude (V)
1.079999999999990067e-09,7.422649855459290125e-04
1.099999999999999924e-09,7.258412086081020027e-04
1.120000000000000061e-09,6.688830744025840280e-04
1.139999999999999992e-09,5.742289877364239884e-04
1.160000000000010056e-09,4.470528942984099857e-04
1.180000000000000061e-09,2.945464109346160016e-04
1.199999999999999992e-09,1.254742009231780097e-04
1.219999999999989997e-09,-5.036958197311359922e-05
1.240000000000000061e-09,-2.227697248134690041e-04
1.259999999999999992e-09,-3.817251106976089791e-04
1.279999999999999923e-09,-5.180707459964020538e-04
1.300000000000009986e-09,-6.240476105383520496e-04
1.319999999999999991e-09,-6.937845388427169979e-04
1.339999999999999922e-09,-7.236618485919139778e-04
1.359999999999989927e-09,-7.125338466670439862e-04
1.379999999999999991e-09,-6.617961983880310236e-04
1.399999999999999922e-09,-5.752938862858270053e-04
1.420000000000000059e-09,-4.590754991949090201e-04
1.440000000000009917e-09,-3.210092513708589991e-04
1.459999999999999921e-09,-1.702848274895870089e-04
1.480000000000000059e-09,-1.683233572569899834e-05
1.499999999999990064e-09,1.293051249233519867e-04
1.519999999999999921e-09,2.586058446484029998e-04
1.540000000000000059e-09,3.626709368303979750e-04
1.559999999999999990e-09,4.347549850175629906e-04
1.579999999999999921e-09,4.701924938669500213e-04
1.600000000000000058e-09,4.666932694763760133e-04
1.619999999999999989e-09,4.244880818435020197e-04
1.639999999999989994e-09,3.463153662434020137e-04
1.660000000000000058e-09,2.372497106552850035e-04
1.679999999999999989e-09,1.043828254220010042e-04
1.699999999999999920e-09,-4.362302628659799894e-05
1.720000000000000057e-09,-1.970811267388729966e-04
1.739999999999999988e-09,-3.458916442860580161e-04
1.759999999999999919e-09,-4.801798056991659789e-04
1.779999999999989924e-09,-5.909207771165580483e-04
1.799999999999999988e-09,-6.705119391859369659e-04
1.819999999999999919e-09,-7.132565222567689754e-04
1.840000000000000057e-09,-7.157281147063230013e-04
1.859999999999999988e-09,-6.769930242832170129e-04
1.880000000000000125e-09,-5.986763905533679922e-04
1.900000000000000056e-09,-4.848677565260379866e-04
1.919999999999990061e-09,-3.418718931842300215e-04
1.939999999999999918e-09,-1.778203983362630105e-04
1.959999999999999849e-09,-2.168349280812929806e-06
1.980000000000000194e-09,1.748924736982909929e-04
2.000000000000000125e-09,3.430670148090900033e-04
2.020000000000000055e-09,4.925972899071690177e-04
2.039999999999999986e-09,6.148694639774260166e-04
2.059999999999989991e-09,7.029495367775830160e-04
2.079999999999999848e-09,7.520139784166139478e-04
2.100000000000000193e-09,7.596482381775109460e-04
2.120000000000000124e-09,7.259943365608940513e-04
2.140000000000000055e-09,6.537382225236330457e-04
2.159999999999999986e-09,5.479376405694130195e-04
2.179999999999999917e-09,4.157012736446129742e-04
2.199999999999989921e-09,2.657392778442550069e-04
2.220000000000000192e-09,1.078134157571499998e-04
2.240000000000000123e-09,-4.787868236496449812e-05
2.260000000000000054e-09,-1.913464448419940043e-04
2.279999999999999985e-09,-3.134360610315429911e-04
2.299999999999999916e-09,-4.064073614754990156e-04
2.319999999999999847e-09,-4.644215791816339858e-04
2.339999999999989851e-09,-4.839092806965829795e-04
2.360000000000000122e-09,-4.637952743368269916e-04
2.380000000000000053e-09,-4.055662835631540226e-04
2.399999999999999984e-09,-3.131770524968369965e-04
2.419999999999999915e-09,-1.928007074370910012e-04
2.439999999999999846e-09,-5.243899481904319834e-05
2.460000000000000190e-09,9.858316371686190016e-05
2.479999999999990195e-09,2.502070694647560078e-04
2.500000000000000052e-09,3.922765696015259899e-04
2.519999999999999983e-09,5.151813023067429789e-04
2.539999999999999914e-09,6.104663999571800521e-04
2.559999999999999845e-09,6.713702680775679747e-04
2.580000000000000190e-09,6.932565534075750329e-04
2.600000000000000121e-09,6.739130428542489549e-04
2.619999999999990125e-09,6.136985808978179984e-04
2.639999999999999982e-09,5.155286326641900403e-04
2.659999999999999913e-09,3.847002544867959752e-04
2.679999999999999844e-09,2.285673267642410135e-04
2.700000000000000189e-09,5.608632087923220007e-05
2.720000000000000120e-09,-1.227389793431249909e-04
2.740000000000000051e-09,-2.974790135867829734e-04
2.760000000000009908e-09,-4.579272651453799984e-04
2.779999999999999913e-09,-5.947356533783649656e-04
2.799999999999999844e-09,-6.999966055569620347e-04
2.820000000000000188e-09,-7.677352413233719513e-04
2.840000000000000119e-09,-7.942807289711440464e-04
2.860000000000000050e-09,-7.784934462698349985e-04
2.879999999999999981e-09,-7.218336247110279831e-04
2.900000000000009838e-09,-6.282671072565290237e-04
2.919999999999999843e-09,-5.040140808791399767e-04
2.940000000000000187e-09,-3.571565137326260134e-04
2.959999999999990192e-09,-1.971289120974929927e-04
2.980000000000000049e-09,-3.412435543541819964e-05
2.999999999999999980e-09,1.215468934681679993e-04
3.019999999999999911e-09,2.601059088338429854e-04
3.040000000000010182e-09,3.729199916811650134e-04
3.060000000000000186e-09,4.530452631442769950e-04
3.080000000000000117e-09,4.956628218244160406e-04
3.099999999999990122e-09,4.983810004524410336e-04
3.119999999999999979e-09,4.613846617969899976e-04
3.139999999999999910e-09,3.874220811536149747e-04
3.159999999999999841e-09,2.816301696196490002e-04
3.180000000000010112e-09,1.512089575399300028e-04
3.200000000000000117e-09,4.965742063445820083e-06
3.220000000000000048e-09,-1.472424898978690001e-04
3.239999999999990052e-09,-2.951333384183240120e-04
3.259999999999999909e-09,-4.286507265216480018e-04
3.279999999999999840e-09,-5.386031033994359519e-04
3.300000000000000185e-09,-6.172479472729769856e-04
3.320000000000010042e-09,-6.587857499512450414e-04
